G3E_FID,MUNICIPIO,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,RECONEC_CODE,TIPO_RED,TENSION,FASES,LATITUDE,LONGITUDE,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,UBICACION_,FECHA_ACTU,MUNICIPIO_CODE,SUBREGION
13101711,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-12,407-12,CLOSED,R856,PRIMARIA,13.2,SRT,8.2739,-76.37629,2013-04-30,2020-06-09,URBANO,57496490,57496491,13101711-5,2018-04-16,5665,TURBO
13104825,APARTADÓ,APARTADO,401-11,401-11,CLOSED,R860,PRIMARIA,13.2,RST,7.87524,-76.60786999999999,2013-05-08,2020-06-09,URBANO,58005152,58005153,13104825-5,2018-04-16,5045,APARTADO
13169461,TURBO,PUEBLO BELLO,410-11,410-11,CLOSED,R410,PRIMARIA,13.2,RST,8.208260000000001,-76.52202,2013-09-06,2019-12-27,RURAL,51147442,57940275,13169461-5,2018-04-10,5837,TURBO
13178722,NECOCLÍ,NECOCLI,415-13,414-11,OPEN,R978,PRIMARIA,13.2,TSR,8.54889,-76.65850999999999,2013-09-24,2018-07-07,RURAL,57544489,57544490,13178722-5,2018-04-13,5490,TURBO
13180013,NECOCLÍ,LA ATOYOSA,414-11,414-11,CLOSED,R972,PRIMARIA,13.2,TSR,8.54369,-76.59184,2013-09-26,2020-02-11,RURAL,58005097,58005098,13180013-5,2018-04-16,5490,TURBO
13182209,ARBOLETES,LA ATOYOSA,414-13,414-13,CLOSED,R973,PRIMARIA,13.2,RST,8.69479,-76.42459000000001,2013-10-01,2020-06-09,RURAL,57901548,57901550,13182209-5,2018-10-06,5051,TURBO
13222891,ARBOLETES,LA ATOYOSA,414-11,414-11,CLOSED,R481,PRIMARIA,13.2,RST,8.68595,-76.42241999999999,2013-12-23,2020-06-09,RURAL,57544389,57544390,13222891-5,2018-04-16,5051,TURBO
13432844,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-12,407-12,CLOSED,R1068,PRIMARIA,7.621,R,8.38827,-76.31875,2015-01-05,2020-06-09,RURAL,58010664,58010665,13432844-5,2018-04-16,5665,TURBO
13432878,ARBOLETES,S.PEDRO URABA,407-12,407-12,CLOSED,R1069,PRIMARIA,7.621,R,8.48819,-76.3787,2015-01-05,2020-06-09,RURAL,58010688,58010690,13432878-5,2018-04-16,5051,TURBO
13432907,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-12,407-12,CLOSED,R1070,PRIMARIA,13.2,TSR,8.2855,-76.37508000000001,2015-01-05,2020-06-09,RURAL,58001752,58001753,13432907-5,2018-04-16,5665,TURBO
13450541,CAREPA,CAREPA,412-13,412-13,CLOSED,R1052,PRIMARIA,13.2,SRT,7.786460000000001,-76.6544,2015-02-06,2019-12-27,RURAL,57143452,57621638,13450541-5,2018-04-10,5147,APARTADO
13485112,ARBOLETES,LA ATOYOSA,414-12,414-12,CLOSED,R1088,PRIMARIA,13.2,RST,8.68575,-76.42266,2015-03-19,2019-12-27,RURAL,57901327,57901326,13485112-5,2018-04-10,5051,TURBO
13490974,NECOCLÍ,NECOCLI,415-13,415-13,CLOSED,R1077,PRIMARIA,13.2,TSR,8.49785,-76.71488000000001,2015-03-31,2020-04-02,RURAL,47643963,58678269,13490974-5,2018-04-13,5490,TURBO
13491305,ARBOLETES,LA ATOYOSA,414-11,414-11,CLOSED,R1086,PRIMARIA,7.621,T,8.62723,-76.51123,2015-04-06,2020-06-09,RURAL,57635587,57635589,13491305-5,2018-04-16,5051,TURBO
13508146,SAN JUAN DE URABÁ,LA ATOYOSA,414-13,409-12,OPEN,R1090,PRIMARIA,13.2,RST,8.71909,-76.50229,2015-04-29,2019-12-27,RURAL,57452594,57494822,13508146-5,2018-10-17,5659,TURBO
13516936,ARBOLETES,LA ATOYOSA,414-11,414-11,CLOSED,R1078,PRIMARIA,13.2,RST,8.60626,-76.51028000000001,2015-05-15,2020-06-09,RURAL,58010784,58010786,13516936-5,2018-04-16,5051,TURBO
13566830,SAN JUAN DE URABÁ,ARBOLETES,409-12,409-12,CLOSED,R1271,PRIMARIA,13.2,ST,8.74518,-76.5822,2015-08-12,2020-06-09,RURAL,57944676,57944677,13566830-5,2018-04-13,5659,TURBO
13905548,TURBO,CHIGORODO,403-16,403-16,CLOSED,R1194,PRIMARIA,13.2,RST,7.57153,-76.71696,2016-11-16,2020-03-10,RURAL,57676819,57642370,13905548-5,2018-04-16,5837,APARTADO
13905573,TURBO,CHIGORODO,403-16,403-16,CLOSED,R1193,PRIMARIA,13.2,SR,7.571560000000001,-76.7171,2016-11-16,2020-06-09,RURAL,57396032,57642368,13905573-5,2018-04-16,5837,APARTADO
13912002,CHIGORODÓ,CAUCHERAS,404-12,403-16,OPEN,R1192,PRIMARIA,13.2,TSR,7.54816,-76.61153,2016-11-23,2019-12-27,RURAL,57648604,57648863,13912002-5,2018-04-16,5172,APARTADO
13912695,TURBO,URABA,411-11,411-11,CLOSED,R1191,PRIMARIA,7.621,S,8.03219,-76.51486,2016-11-24,2020-06-09,RURAL,57571050,57571051,13912695-5,2018-04-16,5837,TURBO
13913878,TURBO,URABA,411-11,411-11,CLOSED,R1197,PRIMARIA,13.2,RST,7.98751,-76.63571,2016-11-24,2019-12-27,RURAL,47642234,53145357,13913878-5,2018-04-16,5837,TURBO
13917149,ARBOLETES,LA ATOYOSA,414-11,414-11,CLOSED,R1224,PRIMARIA,13.2,RST,8.656080000000001,-76.44908000000001,2016-11-29,2020-06-09,RURAL,57440128,57440129,13917149-5,2018-04-16,5051,TURBO
13917168,NECOCLÍ,LA ATOYOSA,414-11,414-11,CLOSED,R1226,PRIMARIA,7.621,S,8.548689999999999,-76.56911,2016-11-29,2020-06-09,RURAL,57535895,57535896,13917168-5,2018-04-16,5490,TURBO
13917175,SAN JUAN DE URABÁ,LA ATOYOSA,414-11,414-11,CLOSED,R1225,PRIMARIA,7.621,T,8.66865,-76.54783,2016-11-29,2020-06-09,RURAL,57493110,57493112,13917175-5,2018-04-16,5659,TURBO
13917223,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-11,407-11,CLOSED,R1227,PRIMARIA,7.621,S,8.18661,-76.37796,2016-11-29,2020-06-09,RURAL,57279300,57902295,13917223-5,2018-04-16,5665,TURBO
13918949,CHIGORODÓ,CHIGORODO,403-16,403-16,CLOSED,R1190,PRIMARIA,7.621,S,7.65418,-76.66841,2016-12-05,2020-06-09,RURAL,57391243,57391245,13918949-5,2018-04-16,5172,APARTADO
13919233,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-11,407-11,CLOSED,R1228,PRIMARIA,7.621,S,8.26118,-76.38089000000001,2016-12-05,2020-06-09,RURAL,57670432,57670433,13919233-5,2018-04-16,5665,TURBO
13919239,TURBO,URABA,411-11,406-11,OPEN,R1196,PRIMARIA,13.2,RST,7.93577,-76.62185,2016-12-05,2020-03-04,RURAL,58011008,58011010,13919239-5,2018-04-16,5837,TURBO
