G3E_FID,MUNICIPIO,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,CUCHILL_CODE,TIPO_RED,TENSION,FASES,USO,LATITUDE,LONGITUDE,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,SUBESTACI1,NUMERO_FAS,MUNICIPIO_CODE,SUBREGION
21206704,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-11,407-11,CLOSED,C55293,PRIMARIA,7.621,S,NORMAL,8.26207,-76.37931999999999,2019-08-15,2019-09-02,RURAL,57929868,57965808,S.PEDRO URABA,1F,5665,TURBO
21206718,SAN PEDRO DE URABÁ,S.PEDRO URABA,407-11,407-11,CLOSED,C55294,PRIMARIA,7.621,S,NORMAL,8.262030000000001,-76.37923,2019-08-15,2019-09-02,RURAL,57965811,57969163,S.PEDRO URABA,1F,5665,TURBO
21207392,MUTATÁ,CAUCHERAS,404-12,404-12,CLOSED,C55331,PRIMARIA,7.621,R,NORMAL,7.429819999999999,-76.53787,2019-08-16,2019-10-01,RURAL,47640119,57966038,CAUCHERAS,1F,5480,APARTADO
21207418,MUTATÁ,CAUCHERAS,404-12,404-12,CLOSED,C55332,PRIMARIA,7.621,R,NORMAL,7.42978,-76.53795,2019-08-16,2019-10-01,RURAL,57966041,57976098,CAUCHERAS,1F,5480,APARTADO
21215541,MUTATÁ,CAUCHERAS,404-11,404-11,CLOSED,C55576,PRIMARIA,13.2,RT,NORMAL,7.31752,-76.48778,2019-08-30,2019-09-12,RURAL,57968888,57971552,CAUCHERAS,2F,5480,APARTADO
21215552,MUTATÁ,CAUCHERAS,404-11,404-11,CLOSED,C55577,PRIMARIA,13.2,RT,NORMAL,7.31757,-76.48770999999999,2019-08-30,2019-09-12,RURAL,57968895,57874629,CAUCHERAS,2F,5480,APARTADO
21217626,TURBO,PUEBLO BELLO,410-11,410-11,CLOSED,C55632,PRIMARIA,7.621,T,NORMAL,8.202919999999999,-76.5252,2019-09-04,2019-09-23,RURAL,57464969,57969588,PUEBLO BELLO,1F,5837,TURBO
21217638,TURBO,PUEBLO BELLO,410-11,410-11,CLOSED,C55633,PRIMARIA,7.621,T,NORMAL,8.20282,-76.52518,2019-09-04,2019-09-23,RURAL,57969589,57973949,PUEBLO BELLO,1F,5837,TURBO
21217758,ARBOLETES,ARBOLETES,409-12,409-12,CLOSED,C55634,PRIMARIA,7.621,T,NORMAL,8.83784,-76.43498000000001,2019-09-04,2019-10-01,RURAL,57420865,57969611,ARBOLETES,1F,5051,TURBO
21217760,ARBOLETES,ARBOLETES,409-12,409-12,CLOSED,C55635,PRIMARIA,7.621,T,NORMAL,8.837769999999999,-76.43491,2019-09-04,2019-10-01,RURAL,57969612,57976096,ARBOLETES,1F,5051,TURBO
21225284,CAREPA,APARTADO,401-41,401-41,CLOSED,C55936,SUBTRANSMISION,44.0,TSR,NORMAL,7.777089999999999,-76.65647,2019-09-16,2019-11-20,RURAL,57972048,57987702,APARTADO,3F,5147,APARTADO
21239306,CAREPA,CAREPA,412-14,412-14,CLOSED,C56931,PRIMARIA,7.621,R,NORMAL,7.7744,-76.65661999999999,2019-10-01,2019-10-26,RURAL,57293890,57975968,CAREPA,1F,5147,APARTADO
21239309,CAREPA,CAREPA,412-14,412-14,CLOSED,C56932,PRIMARIA,7.621,R,NORMAL,7.774360000000001,-76.65653,2019-10-01,2019-10-26,RURAL,57975969,57390557,CAREPA,1F,5147,APARTADO
21239525,NECOCLÍ,NECOCLI,415-12,415-12,CLOSED,C56951,PRIMARIA,13.2,STR,NORMAL,8.41997,-76.64659,2019-10-01,2019-10-31,RURAL,57308588,57976029,NECOCLI,3F,5490,TURBO
21239534,NECOCLÍ,NECOCLI,415-12,415-12,CLOSED,C56952,PRIMARIA,13.2,STR,NORMAL,8.419939999999999,-76.64669,2019-10-01,2019-10-31,RURAL,57976033,57983340,NECOCLI,3F,5490,TURBO
21240675,TURBO,URABA,406-11,406-11,CLOSED,C4577,PRIMARIA,13.2,RST,NORMAL,7.93398,-76.70883,2019-10-02,2019-12-17,RURAL,57993395,57993397,URABA,3F,5837,TURBO
21240676,TURBO,URABA,406-11,406-11,CLOSED,C4578,PRIMARIA,13.2,RST,NORMAL,7.93398,-76.70874,2019-10-02,2019-12-16,RURAL,57993398,57993401,URABA,3F,5837,TURBO
21240677,TURBO,URABA,406-12,406-12,CLOSED,C4572,PRIMARIA,13.2,RST,NORMAL,7.93382,-76.70883,2019-10-02,2019-12-17,RURAL,57993508,57993525,URABA,3F,5837,TURBO
21240678,TURBO,URABA,406-12,406-12,CLOSED,C4576,PRIMARIA,13.2,RST,NORMAL,7.93382,-76.70873,2019-10-02,2019-12-17,RURAL,57993526,57993530,URABA,3F,5837,TURBO
21240679,TURBO,URABA,406-13,406-13,CLOSED,C4573,PRIMARIA,13.2,RST,NORMAL,7.9336899999999995,-76.70881999999999,2019-10-02,2019-12-19,RURAL,57994043,57994044,URABA,3F,5837,TURBO
21240680,TURBO,URABA,406-13,406-13,CLOSED,C4574,PRIMARIA,13.2,RST,NORMAL,7.9336899999999995,-76.70872,2019-10-02,2019-12-19,RURAL,57994046,57994053,URABA,3F,5837,TURBO
21241607,TURBO,URABA,406-G1,406-G1,CLOSED,C57051,PRIMARIA,13.2,RST,NORMAL,7.93405,-76.70838,2019-10-03,2019-12-17,RURAL,57976752,57979188,URABA,3F,5837,TURBO
21241715,TURBO,URABA,406-G1,406-G1,CLOSED,C57052,PRIMARIA,13.2,RST,NORMAL,7.93405,-76.70829,2019-10-03,2019-12-17,RURAL,57984358,57976754,URABA,3F,5837,TURBO
21241720,TURBO,URABA,406-G1,406-G1,OPEN,C57053,PRIMARIA,13.2,RST,NORMAL,7.934069999999999,-76.70833,2019-10-03,2019-12-17,RURAL,57976752,57976754,URABA,3F,5837,TURBO
21255868,TURBO,CIRILO,413-11,413-11,CLOSED,C57486,PRIMARIA,7.621,R,NORMAL,8.1694,-76.7304,2019-10-23,2019-11-21,RURAL,57613197,57981064,CIRILO,1F,5837,TURBO
21255900,TURBO,CIRILO,413-11,413-11,CLOSED,C57487,PRIMARIA,7.621,R,NORMAL,8.16943,-76.73031,2019-10-23,2019-11-21,RURAL,57981075,57987856,CIRILO,1F,5837,TURBO
21257288,SAN PEDRO DE URABÁ,LA ATOYOSA,414-12,414-12,CLOSED,C57520,PRIMARIA,7.621,R,NORMAL,8.5376,-76.28566,2019-10-24,2019-12-23,RURAL,57426456,57981483,LA ATOYOSA,1F,5665,TURBO
21257303,SAN PEDRO DE URABÁ,LA ATOYOSA,414-12,414-12,CLOSED,C57521,PRIMARIA,7.621,R,NORMAL,8.53764,-76.28558000000001,2019-10-24,2019-12-23,RURAL,57981486,57994672,LA ATOYOSA,1F,5665,TURBO
21257460,NECOCLÍ,LA ATOYOSA,414-11,414-11,CLOSED,C57526,PRIMARIA,7.621,S,NORMAL,8.54463,-76.59114,2019-10-24,2019-10-29,RURAL,57982428,57981557,LA ATOYOSA,1F,5490,TURBO
21257484,NECOCLÍ,LA ATOYOSA,414-11,414-11,CLOSED,C57527,PRIMARIA,7.621,S,NORMAL,8.54468,-76.59121,2019-10-24,2019-10-29,RURAL,57981559,57982431,LA ATOYOSA,1F,5490,TURBO
21270942,SAN JUAN DE URABÁ,ARBOLETES,409-12,409-12,CLOSED,C57991,PRIMARIA,13.2,ST,NORMAL,8.73969,-76.6055,2019-11-14,2019-11-14,RURAL,57985952,57985953,ARBOLETES,2F,5659,TURBO
21295121,TURBO,URABA,411-41,411-41,CLOSED,C58671,SUBTRANSMISION,44.0,TSR,NORMAL,7.93439,-76.70877,2019-12-17,2019-12-17,RURAL,57993435,57993437,URABA,3F,5837,TURBO
21295158,TURBO,URABA,411-41,411-41,CLOSED,C58672,SUBTRANSMISION,44.0,TSR,NORMAL,7.93439,-76.70869,2019-12-17,2019-12-17,RURAL,57993448,57993449,URABA,3F,5837,TURBO
21296767,NECOCLÍ,ARBOLETES,409-12,409-12,CLOSED,C58691,PRIMARIA,13.2,ST,NORMAL,8.695310000000001,-76.62913,2019-12-18,2019-12-18,RURAL,57352356,57993931,ARBOLETES,2F,5490,TURBO
21299108,NECOCLÍ,NECOCLI,415-13,415-11,OPEN,C58734,PRIMARIA,7.621,T,NORMAL,8.429780000000001,-76.78289000000001,2019-12-23,2020-04-20,RURAL,57994788,57994789,NECOCLI,1F,5490,TURBO
21310066,ARBOLETES,ARBOLETES,409-12,409-12,CLOSED,C58951,PRIMARIA,13.2,RST,NORMAL,8.83036,-76.45291999999999,2020-01-15,2020-02-12,RURAL,47641474,57998128,ARBOLETES,3F,5051,TURBO
21310068,ARBOLETES,ARBOLETES,409-12,409-12,CLOSED,C58952,PRIMARIA,13.2,RST,NORMAL,8.83033,-76.45300999999999,2020-01-15,2020-02-12,RURAL,57998129,58005150,ARBOLETES,3F,5051,TURBO
21310072,ARBOLETES,ARBOLETES,409-12,409-12,OPEN,C58953,PRIMARIA,13.2,RST,NORMAL,8.83032,-76.45295,2020-01-15,2020-02-12,RURAL,47641474,58005150,ARBOLETES,3F,5051,TURBO
21317189,NECOCLÍ,LA ATOYOSA,414-11,414-11,OPEN,C59171,PRIMARIA,13.2,TSR,NORMAL,8.54367,-76.59183,2020-01-23,2020-02-11,RURAL,58005095,58005099,LA ATOYOSA,3F,5490,TURBO
21317211,NECOCLÍ,LA ATOYOSA,414-11,414-11,CLOSED,C59172,PRIMARIA,13.2,TSR,NORMAL,8.54372,-76.59181,2020-01-23,2020-02-11,RURAL,58005095,58005097,LA ATOYOSA,3F,5490,TURBO
21317218,NECOCLÍ,LA ATOYOSA,414-11,414-11,CLOSED,C59173,PRIMARIA,13.2,TSR,NORMAL,8.54367,-76.59188,2020-01-23,2020-02-11,RURAL,58005098,58005099,LA ATOYOSA,3F,5490,TURBO
21317911,APARTADÓ,APARTADO,401-11,401-11,CLOSED,C59192,PRIMARIA,13.2,RST,NORMAL,7.87522,-76.60791,2020-01-23,2020-02-12,URBANO,58005151,58005152,APARTADO,3F,5045,APARTADO
21317915,APARTADÓ,APARTADO,401-11,401-11,CLOSED,C59193,PRIMARIA,13.2,RST,NORMAL,7.8752699999999995,-76.60784,2020-01-23,2020-02-12,URBANO,58005153,58005154,APARTADO,3F,5045,APARTADO
21317986,APARTADÓ,APARTADO,401-11,401-11,CLOSED,C59194,PRIMARIA,13.2,RST,NORMAL,7.87506,-76.60876999999999,2020-01-23,2020-02-12,URBANO,58005145,58005146,APARTADO,3F,5045,APARTADO
21320525,CHIGORODÓ,CHIGORODO,403-16,403-16,OPEN,C59252,PRIMARIA,13.2,RST,NORMAL,7.58632,-76.63235,2020-01-27,2020-03-16,RURAL,57798527,58013881,CHIGORODO,3F,5172,APARTADO
21337788,MUTATÁ,CAUCHERAS,404-11,605-14,OPEN,C59551,PRIMARIA,7.621,T,NORMAL,7.19805,-76.41281,2020-02-14,2020-03-30,RURAL,53155594,58005755,CAUCHERAS,1F,5480,APARTADO
21337962,TURBO,TURBO,402-15,402-15,CLOSED,C59552,PRIMARIA,13.2,RST,NORMAL,8.09043,-76.72572,2020-02-14,2020-06-24,URBANO,70762154,58005811,TURBO,3F,5837,TURBO
21337967,TURBO,TURBO,402-15,402-15,CLOSED,C59553,PRIMARIA,13.2,RST,NORMAL,8.09043,-76.72581,2020-02-14,2020-06-24,URBANO,58005813,70762155,TURBO,3F,5837,TURBO
21345612,APARTADÓ,APARTADO,401-15,401-15,OPEN,C59732,PRIMARIA,13.2,STR,NORMAL,7.88311,-76.63229,2020-02-24,2020-02-27,URBANO,57375633,58009321,APARTADO,3F,5045,APARTADO
21345622,APARTADÓ,APARTADO,401-15,401-15,CLOSED,C59734,PRIMARIA,13.2,STR,NORMAL,7.88317,-76.63231999999999,2020-02-24,2020-02-27,URBANO,57375633,58009319,APARTADO,3F,5045,APARTADO
21345627,APARTADÓ,APARTADO,401-15,401-15,CLOSED,C59735,PRIMARIA,13.2,STR,NORMAL,7.8830800000000005,-76.63235,2020-02-24,2020-02-27,URBANO,58009320,58009321,APARTADO,3F,5045,APARTADO
21348116,APARTADÓ,APARTADO,401-13,401-13,CLOSED,C59791,PRIMARIA,13.2,RTS,NORMAL,7.8877,-76.63064,2020-02-26,2020-03-17,URBANO,57380411,58008831,APARTADO,3F,5045,APARTADO
21348122,APARTADÓ,APARTADO,401-13,401-13,CLOSED,C59792,PRIMARIA,13.2,RTS,NORMAL,7.88772,-76.63074,2020-02-26,2020-03-19,URBANO,58008832,58014639,APARTADO,3F,5045,APARTADO
21348125,APARTADÓ,APARTADO,401-13,401-13,OPEN,C59793,PRIMARIA,13.2,RTS,NORMAL,7.8876800000000005,-76.6307,2020-02-26,2020-03-19,URBANO,57380411,58014639,APARTADO,3F,5045,APARTADO
21350842,TURBO,NUEVA COLONIA,406-12,406-12,CLOSED,C59814,PRIMARIA,13.2,SRT,NORMAL,7.93355,-76.71432,2020-02-27,2020-03-03,RURAL,47639475,58010518,NUEVA COLONIA,3F,5837,TURBO
21350843,TURBO,NUEVA COLONIA,406-12,406-12,CLOSED,C59815,PRIMARIA,13.2,SRT,NORMAL,7.93364,-76.71436,2020-02-27,2020-03-03,RURAL,58010519,58010520,NUEVA COLONIA,3F,5837,TURBO
21359339,TURBO,TURBO,402-16,402-16,CLOSED,C59991,PRIMARIA,13.2,RST,NORMAL,8.09154,-76.7285,2020-03-09,2020-05-06,URBANO,70751902,70751884,TURBO,3F,5837,TURBO
21359356,TURBO,TURBO,402-16,402-16,CLOSED,C59992,PRIMARIA,13.2,RST,NORMAL,8.0915,-76.72858000000001,2020-03-09,2020-05-06,URBANO,70751886,70751887,TURBO,3F,5837,TURBO
22524911,NECOCLÍ,NECOCLI,415-13,415-13,CLOSED,C60413,PRIMARIA,7.621,R,NORMAL,8.49779,-76.71489,2020-04-02,2020-04-02,RURAL,58678276,47643963,NECOCLI,1F,5490,TURBO
22524912,NECOCLÍ,NECOCLI,415-13,415-13,CLOSED,C60414,PRIMARIA,13.2,RST,NORMAL,8.49789,-76.71486,2020-04-02,2020-04-02,RURAL,58678269,58678282,NECOCLI,3F,5490,TURBO
31293084,NECOCLÍ,NECOCLI,415-13,415-13,CLOSED,C61000,PRIMARIA,13.2,TSR,NORMAL,8.47922,-76.73127,2020-05-05,2020-05-06,RURAL,57961375,70751542,NECOCLI,3F,5490,TURBO
