G3E_FID,MUNICIPIO,COMUNA,BARRIO,VEREDA,UBICACION,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,CODIGO,TIPO_RED,TENSION,FASES,CAPACIDAD_,NRO_OPERAC,MODELO,VALORES_PL,CORRIENTE1,CURVAS_OPE,NRO_DISP_C,NRO_DISP_1,COMUNICACI,BIDIRECCIO,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_MODI,JOB_COLOCA,DIRECCION,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,UBICACION_,FECHA_ACTU,MUNICIPIO_,SUBREGION
13913878,TURBO,,,CURRULAO,,URABA,411-11,411-11,CLOSED,R1197,PRIMARIA,13.2,RST,,0,,,,,,,,,13913878,,,,7.98751,-76.63571,11/24/2016,12/27/2019,WO#571,,RURAL,47642234,53145357,CLOSED,PRIMARIA,URABA,411-11,13.2,RST,13913878-5,4/16/2018,5837,TURBO
13917149,ARBOLETES,,,LA CANDELARIA,,LA ATOYOSA,414-11,414-11,CLOSED,R1224,PRIMARIA,13.2,RST,,0,,,,,,,,,13917149,,,,8.65608,-76.44908,11/29/2016,6/9/2020,WO#571,,RURAL,57440128,57440129,CLOSED,PRIMARIA,LA ATOYOSA,414-11,13.2,RST,13917149-5,4/16/2018,5051,TURBO
13917168,NECOCLÍ,,,LAS CHANGAS,,LA ATOYOSA,414-11,414-11,CLOSED,R1226,PRIMARIA,7.621,S,,0,,,,,,,,,13917168,,,,8.54869,-76.56911,11/29/2016,6/9/2020,WO#571,,RURAL,57535895,57535896,CLOSED,PRIMARIA,LA ATOYOSA,414-11,7.621,S,13917168-5,4/16/2018,5490,TURBO
13917175,SAN JUAN DE URABÁ,,,LA MUGROSA,,LA ATOYOSA,414-11,414-11,CLOSED,R1225,PRIMARIA,7.621,T,,0,,,,,,,,,13917175,,,,8.66865,-76.54783,11/29/2016,6/9/2020,WO#571,,RURAL,57493110,57493112,CLOSED,PRIMARIA,LA ATOYOSA,414-11,7.621,T,13917175-5,4/16/2018,5659,TURBO
13917223,SAN PEDRO DE URABÁ,,,LA CABAÑA,,S.PEDRO URABA,407-11,407-11,CLOSED,R1227,PRIMARIA,7.621,S,,0,,,,,,,,,13917223,,,,8.18661,-76.37796,11/29/2016,6/9/2020,WO#571,,RURAL,57279300,57902295,CLOSED,PRIMARIA,S.PEDRO URABA,407-11,7.621,S,13917223-5,4/16/2018,5665,TURBO
13918949,CHIGORODÓ,,,LA RIVERA,,CHIGORODO,403-16,403-16,CLOSED,R1190,PRIMARIA,7.621,S,,0,,,,,,,,,13918949,,,,7.65418,-76.66841,12/5/2016,6/9/2020,WO#571,,RURAL,57391243,57391245,CLOSED,PRIMARIA,CHIGORODO,403-16,7.621,S,13918949-5,4/16/2018,5172,APARTADO
13919233,SAN PEDRO DE URABÁ,,,CABECERA MUNICIPAL-VEREDA,,S.PEDRO URABA,407-11,407-11,CLOSED,R1228,PRIMARIA,7.621,S,,0,,,,,,,,,13919233,,,,8.26118,-76.38089,12/5/2016,6/9/2020,WO#571,,RURAL,57670432,57670433,CLOSED,PRIMARIA,S.PEDRO URABA,407-11,7.621,S,13919233-5,4/16/2018,5665,TURBO
13919239,TURBO,,,AGUAS FRIAS,,URABA,411-11,406-11,OPEN,R1196,PRIMARIA,13.2,RST,,0,,,,,,,,,13919239,,,,7.93577,-76.62185,12/5/2016,3/4/2020,WO#571,,RURAL,58011008,58011010,CLOSED,PRIMARIA,URABA,411-11,13.2,RST,13919239-5,4/16/2018,5837,TURBO
13920012,APARTADÓ,,,EL CUCHILLO,,APARTADO,401-11,401-11,CLOSED,R1229,PRIMARIA,7.621,T,,0,,,,,,,,,13920012,,,,7.88338,-76.5617,12/6/2016,6/9/2020,WO#571,,RURAL,47632889,58014395,CLOSED,PRIMARIA,APARTADO,401-11,7.621,T,13920012-5,4/16/2018,5045,APARTADO
13965110,NECOCLÍ,,,CARLO ABAJO,,NECOCLI,415-12,415-12,CLOSED,R1268,PRIMARIA,13.2,TSR,,0,,,,,,,,,13965110,,,,8.40895,-76.75417,1/31/2017,12/27/2019,WO#571,,RURAL,57792456,57792458,CLOSED,PRIMARIA,NECOCLI,415-12,13.2,TSR,13965110-5,4/16/2018,5490,TURBO
13965234,NECOCLÍ,,,CAIMAN VIEJO,,NECOCLI,415-12,415-12,CLOSED,R1273,PRIMARIA,7.621,T,,0,,,,,,,,,13965234,,,,8.34696,-76.73922,1/31/2017,6/9/2020,WO#571,,RURAL,57409011,57409027,CLOSED,PRIMARIA,NECOCLI,415-12,7.621,T,13965234-5,4/16/2018,5490,TURBO
13965280,NECOCLÍ,,,EL VALE PAVAS,,NECOCLI,415-13,415-13,CLOSED,R1276,PRIMARIA,13.2,TSR,,0,,,,,,,,,13965280,,,,8.47202,-76.73381,1/31/2017,6/9/2020,WO#571,,RURAL,47643927,57492678,CLOSED,PRIMARIA,NECOCLI,415-13,13.2,TSR,13965280-5,4/13/2018,5490,TURBO
13965324,CHIGORODÓ,,,GUAGUAS,,CHIGORODO,403-12,403-12,CLOSED,R1277,PRIMARIA,7.621,T,,0,,,,,,,,,13965324,,,,7.69066,-76.72721,1/31/2017,6/9/2020,WO#571,,RURAL,57844019,57844020,CLOSED,PRIMARIA,CHIGORODO,403-12,7.621,T,13965324-5,4/5/2018,5172,APARTADO
13965325,CHIGORODÓ,,,GUAGUAS,,CHIGORODO,403-12,403-12,CLOSED,R1272,PRIMARIA,7.621,R,,0,,,,,,,,,13965325,,,,7.68509,-76.72914,1/31/2017,6/9/2020,WO#571,,RURAL,57392686,57392688,CLOSED,PRIMARIA,CHIGORODO,403-12,7.621,R,13965325-5,4/5/2018,5172,APARTADO
