G3E_FID,MERCADO,DEPARTAMEN,MUNICIPIO,COMUNA,BARRIO,CORREGIMIE,LOCALIZACI,SUBESTACIO,CIRCUITO,CIRCUITO_S,EST_ESTABL,TIPO_AISLA,TIPO_RED,TENSION,FASES,CAPACIDAD_,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_MODI,CLASIFICAC,NODO1_ID,NODO2_ID,EST_OPERAT,TIPO_RED_C,SUBESTACI1,CIRCUITO_C,TENSION_CO,FASES_CONN,UBICACION_,FECHA_ACTU,NUMERO_FAS,MUNICIPIO_,SUBREGION
4115690,REGIONAL,ANTIOQUIA,TURBO,,,,AEREO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,S,25,4115690,743756.608,1410011.146,,8.29696,-76.40293,12/6/2007,4/18/2018,RURAL,47640456,53142999,CLOSED,PRIMARIA,S.PEDRO URABA,407-13,7.621,S,4115690-5,4/11/2018,1F,5837,TURBO
4115691,REGIONAL,ANTIOQUIA,TURBO,,,,AEREO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,S,15,4115691,744615.771,1411917.826,,8.31423,-76.39523,12/6/2007,4/4/2017,RURAL,47640505,53143003,CLOSED,PRIMARIA,S.PEDRO URABA,407-13,7.621,S,4115691-5,4/11/2018,1F,5837,TURBO
4115696,REGIONAL,ANTIOQUIA,TURBO,,,,AEREO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,R,25,4115696,735467.733,1416522.345,,8.35533,-76.47846,12/6/2007,2/2/2016,RURAL,47674536,53143057,CLOSED,PRIMARIA,S.PEDRO URABA,407-13,7.621,R,4115696-5,4/11/2018,1F,5837,TURBO
4115698,REGIONAL,ANTIOQUIA,TURBO,,,,AEREO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,13.2,SRT,40,4115698,734814.966,1417779.453,,8.36666,-76.48445,12/6/2007,2/2/2016,RURAL,47643331,53143059,CLOSED,PRIMARIA,S.PEDRO URABA,407-13,13.2,SRT,4115698-5,4/11/2018,3F,5837,TURBO
4115699,REGIONAL,ANTIOQUIA,TURBO,,,,AEREO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,T,15,4115699,734719.485,1418429.713,,8.37253,-76.48533,12/6/2007,6/29/2016,RURAL,47643325,53143064,CLOSED,PRIMARIA,S.PEDRO URABA,407-13,7.621,T,4115699-5,4/11/2018,1F,5837,TURBO
4115701,REGIONAL,ANTIOQUIA,TURBO,,,,AEREO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,R,,4115701,741984.644,1408084.436,,8.27946,-76.4189,12/6/2007,6/7/2012,RURAL,57416513,57416554,CLOSED,PRIMARIA,S.PEDRO URABA,407-13,7.621,R,4115701-5,4/11/2018,1F,5837,TURBO
4115702,REGIONAL,ANTIOQUIA,TURBO,,,,AEREO,S.PEDRO URABA,407-13,407-13,CLOSED,NORMAL,PRIMARIA,7.621,R,10,4115702,742255.978,1408111.295,,8.27972,-76.41644,12/6/2007,2/2/2016,RURAL,47640389,53143153,CLOSED,PRIMARIA,S.PEDRO URABA,407-13,7.621,R,4115702-5,4/11/2018,1F,5837,TURBO
4115956,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,7.621,S,15,4115956,708012.156,1366843.898,,7.90504,-76.72454,12/6/2007,10/18/2019,RURAL,51141762,51141764,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,7.621,S,4115956-5,4/16/2018,1F,5045,TURBO
4115957,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,NUEVA COLONIA,406-11,406-11,CLOSED,NORMAL,PRIMARIA,7.621,S,15,4115957,708012.156,1366843.898,,7.90504,-76.72454,12/6/2007,10/18/2019,RURAL,51141762,51141763,CLOSED,PRIMARIA,NUEVA COLONIA,406-11,7.621,S,4115957-5,4/16/2018,1F,5045,TURBO
4115958,REGIONAL,ANTIOQUIA,APARTADÓ,,,,AEREO,APARTADO,401-11,401-11,CLOSED,NORMAL,PRIMARIA,13.2,RST,40,4115958,720677.848,1363455.04,,7.87514,-76.60961,12/6/2007,7/7/2018,URBANO,57374257,57492918,CLOSED,PRIMARIA,APARTADO,401-11,13.2,RST,4115958-5,4/16/2018,3F,5045,APARTADO
