G3E_FID,COMUNA,REGION,GRUPO,LOCALIZACI,SUBESTACIO,CIRCUITO,TIPO_RED,TENSION,TENSION_SE,TENSION_CR,CAPACIDAD_,FASES,NRO_TRANSF,NODO_TRANS,MUNICIPIO,BARRIO,FABRICANTE,FID_ANTERI,COOR_X,COOR_Y,COOR_Z,COOR_GPS_L,COOR_GPS_1,FECHA_COLO,FECHA_INST,FECHA_MODI,FECHA_ACTU,CLASIFICAC,NODO1_ID,NODO2_ID,NODO_TRAN1,TENSION_S1,TIPO_RED_C,SUBESTACI1,LOCALIZAC1,CIRCUITO_C,CIRCUITO_S,TENSION_CO,FASES_CONN,UBICACION_,NUMERO_FAS,MUNICIPIO_,SUBREGION
7001338,,URABA,,AEREO,S.PEDRO URABA,407-12,PRIMARIA,7.621,120/240,1,15,S,477213,477213,SAN PEDRO DE URABÁ,,SIN CARGAR,7001338,748442.573,1410921.854,,8.30547,-76.36065,1/23/2008,1/23/2008,6/28/2019,4/16/2018,RURAL,47674497,57745411,477213,120/240,PRIMARIA,S.PEDRO URABA,AEREO,407-12,410-11,7.621,S,477213,1F,5665,TURBO
7001669,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,10,T,418251,418251,TURBO,,SIEMENS,7001669,707665.735,1389343.446,,8.10824,-76.72899,1/23/2008,1/23/2008,1/16/2020,4/5/2018,RURAL,57403494,57680127,418251,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,T,418251,1F,5837,TURBO
7001671,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,25,S,70632,418240,TURBO,,RYMEL,7001671,708558.386,1389911.777,,8.11375,-76.72101,1/23/2008,7/10/2015,1/16/2020,4/5/2018,RURAL,57680296,57282032,418240,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,S,418240,1F,5837,TURBO
7001672,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,25,T,418241,418241,TURBO,,SIEMENS,7001672,709063.248,1390130.096,,8.11543,-76.71637,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,53148542,0,418241,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,T,418241,1F,5837,TURBO
7001675,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,120/240,1,37.5,R,405083,405083,TURBO,,SIN CARGAR,7001675,711395.941,1390626.274,,8.12003,-76.69498,1/23/2008,1/23/2008,4/1/2019,4/5/2018,RURAL,57719671,57719670,405083,120/240,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,R,405083,1F,5837,TURBO
7001676,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,50,T,418237,418237,TURBO,,SIEMENS,7001676,711375.438,1391109.837,,8.12442,-76.69548,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,53148750,57159093,418237,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,T,418237,1F,5837,TURBO
7002035,,URABA,,AEREO,TURBO,402-13,PRIMARIA,7.621,240/120,1,5,R,418238,418238,TURBO,,RYMEL,7002035,711417.022,1391382.513,,8.12686,-76.69508,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,57404173,0,418238,240/120,PRIMARIA,TURBO,AEREO,402-13,402-13,7.621,R,418238,1F,5837,TURBO
7002213,,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,37.5,S,400318,400318,TURBO,,TPL,7002213,707106.675,1389757.121,,8.11207,-76.73412,1/23/2008,1/23/2008,1/16/2020,4/3/2018,RURAL,47634145,57665986,400318,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400318,1F,5837,TURBO
7002214,,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,5,S,400562,400562,TURBO,,MAGNETRON,7002214,707590.156,1390331.85,,8.11717,-76.72974,1/23/2008,1/23/2008,4/1/2020,4/3/2018,RURAL,53148876,0,400562,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400562,1F,5837,TURBO
7002215,,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,25,R,400319,400319,TURBO,,SIEMENS,7002215,706996.418,1389443.976,,8.10911,-76.73507,1/23/2008,1/23/2008,4/1/2020,4/3/2018,RURAL,57400915,57666065,400319,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400319,1F,5837,TURBO
7002216,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,50,S,400253,400253,TURBO,MANUELA BELTRAN,SIEMENS,7002216,707366.127,1388458.445,,8.10022,-76.73168,1/23/2008,1/23/2008,1/16/2020,4/3/2018,URBANO,51145038,57666332,400253,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400253,1F,5837,TURBO
7002217,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,25,R,106260,400254,TURBO,MANUELA BELTRAN,SIEMENS,7002217,707200.048,1388386.23,,8.09957,-76.73305,1/23/2008,10/1/2013,4/1/2020,4/3/2018,URBANO,47634157,57666352,400254,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400254,1F,5837,TURBO
7002452,,URABA,,AEREO,TURBO,402-11,PRIMARIA,13.2,120/240,1,75,TSR,400569,400569,TURBO,,SIN CARGAR,7002452,707076.867,1389447.668,,8.10907,-76.73433,1/23/2008,1/23/2008,6/18/2014,3/9/2018,RURAL,47634044,0,400569,120/240,PRIMARIA,TURBO,AEREO,402-11,402-11,13.2,TSR,400569,3F,5837,TURBO
7002453,TURBO,URABA,,AEREO,TURBO,402-11,PRIMARIA,7.621,240/120,1,37.5,S,400587,400297,TURBO,PUNTA DE LAS VACAS,RYMEL,7002453,706194.416,1386701.851,,8.08425,-76.74219,1/23/2008,1/23/2008,4/1/2020,3/9/2018,URBANO,57399517,57679293,400297,240/120,PRIMARIA,TURBO,AEREO,402-11,402-11,7.621,S,400297,1F,5837,TURBO
7002454,,URABA,,AEREO,TURBO,402-11,PRIMARIA,13.2,120/240,1,75,RST,400609,400609,TURBO,,SIN CARGAR,7002454,706605.982,1385635.208,,8.07469,-76.73838,1/23/2008,1/23/2008,4/1/2020,3/9/2018,URBANO,53148866,0,400609,120/240,PRIMARIA,TURBO,AEREO,402-11,402-11,13.2,RST,400609,3F,5837,TURBO
7002455,,URABA,,AEREO,URABA,411-11,PRIMARIA,13.2,214/124,1,30,TSR,89517,400347,TURBO,,RYMEL,7002455,716520.892,1373958.03,,7.96978,-76.64786,1/23/2008,12/20/2011,4/1/2020,4/16/2018,RURAL,57404137,0,400347,214/124,PRIMARIA,URABA,AEREO,411-11,402-11,13.2,TSR,400347,3F,5837,TURBO
7002665,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,240/120,1,10,T,138491,475972,CHIGORODÓ,,MAGNETRON,7002665,702761.102,1346025.067,,7.71672,-76.77111,1/23/2008,10/30/2017,4/1/2020,4/5/2018,RURAL,47634878,57688867,475972,240/120,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475972,1F,5172,APARTADO
7002666,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,120/240,1,5,T,475973,475973,CHIGORODÓ,,,7002666,702739.945,1346601.255,,7.72191,-76.77113,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,47634876,57997729,475973,120/240,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475973,1F,5172,APARTADO
7002668,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,120/240,1,3,T,475975,475975,CHIGORODÓ,,,7002668,703015.581,1346912.156,,7.72473,-76.76865,1/23/2008,1/23/2008,12/9/2019,4/5/2018,RURAL,47634887,0,475975,120/240,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475975,1F,5172,APARTADO
7002670,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,120/240,1,5,T,475978,475978,CHIGORODÓ,,,7002670,702348.571,1347095.225,,7.72634,-76.7747,1/23/2008,1/23/2008,5/8/2020,4/5/2018,RURAL,47634866,57976693,475978,120/240,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475978,1F,5172,APARTADO
7002671,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,120/240,1,10,T,475979,475979,CHIGORODÓ,,,7002671,702089.284,1346556.046,,7.72146,-76.77702,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,53155181,0,475979,120/240,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475979,1F,5172,APARTADO
7002673,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,120/240,1,5,T,475982,475982,CHIGORODÓ,,,7002673,702109.479,1347243.497,,7.72772,-76.77692,1/23/2008,1/23/2008,4/22/2020,4/5/2018,RURAL,47634858,70748451,475982,120/240,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475982,1F,5172,APARTADO
7002674,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,120/240,1,5,T,475983,475983,CHIGORODÓ,,,7002674,701866.609,1347390.388,,7.72898,-76.77908,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,47634853,57834469,475983,120/240,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475983,1F,5172,APARTADO
7002675,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,120/240,1,5,T,475986,475986,CHIGORODÓ,,,7002675,701870.716,1346928.958,,7.72482,-76.77902,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,57397070,0,475986,120/240,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475986,1F,5172,APARTADO
7002677,,URABA,,AEREO,CHIGORODO,403-12,PRIMARIA,7.621,120/240,1,3,T,475988,475988,CHIGORODÓ,,RYMEL,7002677,703346.701,1346241.524,,7.71869,-76.76562,1/23/2008,1/23/2008,4/1/2020,4/5/2018,RURAL,53155173,0,475988,120/240,PRIMARIA,CHIGORODO,AEREO,403-12,403-12,7.621,T,475988,1F,5172,APARTADO
7002880,,URABA,,AEREO,CAREPA,412-14,PRIMARIA,7.621,240/120,1,5,S,452500,452500,CAREPA,,RYMEL,7002880,731237.579,1349723.406,,7.75172,-76.51324,1/23/2008,1/23/2008,4/1/2020,3/24/2018,RURAL,53155883,57869694,452500,240/120,PRIMARIA,CAREPA,AEREO,412-14,412-12,7.621,S,452500,1F,5147,APARTADO
7002881,,URABA,,AEREO,CAREPA,412-14,PRIMARIA,7.621,240/120,1,3,S,452491,452491,CAREPA,,RYMEL,7002881,728141.046,1351838.206,,7.7706,-76.54138,1/23/2008,1/23/2008,4/1/2020,3/24/2018,RURAL,57318046,57295189,452491,240/120,PRIMARIA,CAREPA,AEREO,412-14,412-12,7.621,S,452491,1F,5147,APARTADO
7002882,,URABA,,AEREO,CAREPA,412-14,PRIMARIA,7.621,240/120,1,1,S,452490,452490,CAREPA,,RYMEL,7002882,728051.261,1352057.929,,7.77158,-76.54199,1/23/2008,1/23/2008,4/1/2020,3/24/2018,RURAL,57541266,57295195,452490,240/120,PRIMARIA,CAREPA,AEREO,412-14,412-12,7.621,S,452490,1F,5147,APARTADO
7002883,,URABA,,AEREO,CAREPA,412-14,PRIMARIA,7.621,240/120,1,3,S,452489,452489,CAREPA,,RYMEL,7002883,728834.596,1350206.268,,7.75602,-76.5351,1/23/2008,1/23/2008,4/1/2020,3/24/2018,RURAL,57375709,57155654,452489,240/120,PRIMARIA,CAREPA,AEREO,412-14,412-12,7.621,S,452489,1F,5147,APARTADO
7002884,,URABA,,AEREO,CAREPA,412-14,PRIMARIA,7.621,240/120,1,1,S,452488,452488,CAREPA,,RYMEL,7002884,728026.346,1350275.67,,7.75648,-76.54234,1/23/2008,1/23/2008,4/1/2020,3/24/2018,RURAL,53155891,0,452488,240/120,PRIMARIA,CAREPA,AEREO,412-14,412-12,7.621,S,452488,1F,5147,APARTADO
7002990,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,75,S,126318,400258,TURBO,MANUELA BELTRAN,RYMEL,7002990,707198.825,1388159.408,,8.09749,-76.73318,1/23/2008,6/3/2015,4/1/2020,4/3/2018,URBANO,47634158,57667949,400258,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400258,1F,5837,TURBO
7002991,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,50,S,400259,400259,TURBO,MANUELA BELTRAN,MAGNETRON,7002991,707322.453,1388205.072,,8.09795,-76.73202,1/23/2008,1/23/2008,1/16/2020,4/3/2018,URBANO,57401642,57668001,400259,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400259,1F,5837,TURBO
7002992,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,37.5,S,29473,400260,TURBO,BUENOS AIRES,TPL,7002992,707334.079,1388127.973,,8.09732,-76.73195,1/23/2008,6/20/2011,4/1/2020,4/3/2018,URBANO,47634186,57668150,400260,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400260,1F,5837,TURBO
7002993,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,75,R,400502,400262,TURBO,BUENOS AIRES,MAGNETRON,7002993,707245.077,1388058.984,,8.09662,-76.73273,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,47634168,57668045,400262,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400262,1F,5837,TURBO
7002994,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,37.5,R,400547,400547,TURBO,SANTA FE,SIN CARGAR,7002994,707063.838,1387971.164,,8.09576,-76.73428,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,53148889,57668185,400547,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400547,1F,5837,TURBO
7002995,TURBO,URABA,,AEREO,TURBO,402-15,PRIMARIA,7.621,120/240,1,50,T,400504,400142,TURBO,SAN MARTIN,SIN CARGAR,7002995,708036.352,1387018.949,,8.08727,-76.72554,1/23/2008,1/23/2008,7/19/2019,4/13/2018,URBANO,47634693,57683197,400142,120/240,PRIMARIA,TURBO,AEREO,402-15,402-12,7.621,T,400142,1F,5837,TURBO
7002996,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,5,R,400605,400605,TURBO,BUENOS AIRES,,7002996,707196.368,1387926.52,,8.09542,-76.73316,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,57401746,0,400605,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400605,1F,5837,TURBO
7002997,TURBO,URABA,,AEREO,TURBO,402-14,PRIMARIA,7.621,240/120,1,25,S,126378,400566,TURBO,LA LUCILA,RYMEL,7002997,709495.239,1388550.45,,8.10115,-76.71239,1/23/2008,9/18/2015,4/1/2020,4/16/2018,URBANO,53149075,57155484,400566,240/120,PRIMARIA,TURBO,AEREO,402-14,402-12,7.621,S,400566,1F,5837,TURBO
7002998,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,50,R,400268,400268,TURBO,BUENOS AIRES,RYMEL,7002998,707322.329,1387795.736,,8.09431,-76.73206,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,47634185,57661266,400268,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400268,1F,5837,TURBO
7002999,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,75,R,400267,400267,TURBO,BUENOS AIRES,ANDINA DE TRANSFORMADORES,7002999,707494.941,1387868.682,,8.09498,-76.73051,1/23/2008,1/23/2008,1/16/2020,4/3/2018,URBANO,53148904,57661423,400267,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400267,1F,5837,TURBO
7003000,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,37.5,R,400558,400558,TURBO,LAS FLORES,SIN CARGAR,7003000,706934.102,1387646.335,,8.09279,-76.7355,1/23/2008,1/23/2008,1/16/2020,4/3/2018,URBANO,53148920,57661113,400558,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400558,1F,5837,TURBO
7003001,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,37.5,R,400272,400272,TURBO,GAITAN,SIN CARGAR,7003001,707215.855,1387464.899,,8.09129,-76.73298,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,53148921,57661669,400272,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400272,1F,5837,TURBO
7003002,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,37.5,R,132123,400273,TURBO,GAITAN,MAGNETRON,7003002,707375.289,1387498.345,,8.0915,-76.73145,1/23/2008,11/8/2016,4/1/2020,4/3/2018,URBANO,57401899,57661548,400273,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400273,1F,5837,TURBO
7003003,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,50,R,400275,400275,TURBO,GAITAN,SIEMENS,7003003,707227.495,1387433.121,,8.0909,-76.73284,1/23/2008,1/23/2008,11/19/2019,4/3/2018,URBANO,57401239,57662163,400275,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400275,1F,5837,TURBO
7003004,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,37.5,S,400277,400277,TURBO,SANTA FE,SIN CARGAR,7003004,706965.88,1388257.637,,8.09835,-76.73528,1/23/2008,1/23/2008,6/18/2019,4/3/2018,URBANO,47634136,57666405,400277,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400277,1F,5837,TURBO
7003005,,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,50,T,400278,400278,TURBO,,,7003005,707424.967,1388724.2,,8.10264,-76.73114,1/23/2008,1/23/2008,4/1/2020,4/3/2018,RURAL,51145033,0,400278,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,T,400278,1F,5837,TURBO
7003007,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,37.5,S,106437,400285,TURBO,SANTA FE,SIEMENS,7003007,706598.669,1388112.944,,8.09707,-76.73859,1/23/2008,9/5/2013,4/1/2020,4/3/2018,URBANO,47634105,57666637,400285,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400285,1F,5837,TURBO
7003008,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,30,R,426532,426532,TURBO,SANTA FE,RYMEL,7003008,706586.406,1388121.439,,8.09713,-76.73873,1/23/2008,1/23/2008,10/4/2018,4/3/2018,URBANO,47634105,0,426532,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,426532,1F,5837,TURBO
7003009,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,25,T,78769,400544,TURBO,PESCADORES 2,SIEMENS,7003009,706711.692,1387855.19,,8.09474,-76.73755,1/23/2008,2/4/2010,4/1/2020,4/3/2018,URBANO,53148937,57668716,400544,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,T,400544,1F,5837,TURBO
7003010,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,50,T,400545,400545,TURBO,SANTA FE,RYMEL,7003010,706613.469,1387940.347,,8.09545,-76.73835,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,47634111,57666836,400545,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,T,400545,1F,5837,TURBO
7003011,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,50,T,400546,400546,TURBO,SANTA FE,,7003011,706624.511,1387878.981,,8.09495,-76.73834,1/23/2008,1/23/2008,6/18/2019,4/3/2018,URBANO,53148939,57668776,400546,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,T,400546,1F,5837,TURBO
7003012,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,37.5,R,400286,400286,TURBO,EL PROGRESO,TPL,7003012,706442.617,1388043.274,,8.0965,-76.74009,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,57402310,57668806,400286,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400286,1F,5837,TURBO
7003013,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,50,T,400288,400288,TURBO,PESCADORES 2,,7003013,706452.299,1387708.573,,8.09341,-76.7399,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,57402325,57668865,400288,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,T,400288,1F,5837,TURBO
7003014,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,25,T,400540,400540,TURBO,PESCADORES 2,MAGNETRON,7003014,706619.886,1387627.248,,8.09276,-76.73833,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,53148942,57669046,400540,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,T,400540,1F,5837,TURBO
7003016,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,37.5,T,400436,400290,TURBO,LA PLAYA,ABB,7003016,706297.321,1387365.174,,8.09038,-76.7413,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,57402364,57669218,400290,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,T,400290,1F,5837,TURBO
7003018,,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,120/240,1,50,S,400548,400548,TURBO,,,7003018,707457.809,1388640.122,,8.10188,-76.73084,1/23/2008,1/23/2008,10/3/2018,4/3/2018,URBANO,57418224,0,400548,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400548,1F,5837,TURBO
7003177,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,37.5,R,400295,400295,TURBO,LA PLAYA,TTR,7003177,706223.823,1387034.579,,8.0873,-76.74193,1/23/2008,1/23/2008,1/16/2020,4/3/2018,URBANO,47634062,0,400295,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,R,400295,1F,5837,TURBO
7003178,TURBO,URABA,,AEREO,TURBO,402-12,PRIMARIA,7.621,240/120,1,37.5,S,400296,400296,TURBO,LA PLAYA,MAGNETRON,7003178,706186.982,1386846.352,,8.08557,-76.74224,1/23/2008,1/23/2008,4/1/2020,4/3/2018,URBANO,47634057,57669738,400296,240/120,PRIMARIA,TURBO,AEREO,402-12,402-12,7.621,S,400296,1F,5837,TURBO
7003180,,URABA,,AEREO,TURBO,402-12,PRIMARIA,13.2,214/124,1,45,RST,81098,400308,TURBO,,RYMEL,7003180,706729.821,1384961.662,,8.06868,-76.73669,1/23/2008,11/1/2013,12/9/2019,4/3/2018,URBANO,57539193,0,400308,214/124,PRIMARIA,TURBO,AEREO,402-12,402-12,13.2,RST,400308,3F,5837,TURBO
7003181,,URABA,,AEREO,TURBO,402-12,PRIMARIA,13.2,120/240,1,45,RST,400312,400312,TURBO,,SIN CARGAR,7003181,706863.639,1384712.418,,8.06637,-76.73599,1/23/2008,1/23/2008,12/9/2019,4/3/2018,URBANO,57655348,0,400312,120/240,PRIMARIA,TURBO,AEREO,402-12,402-12,13.2,RST,400312,3F,5837,TURBO
7005118,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,240/120,1,50,R,400212,400212,TURBO,EL CENTRO,ANDINA DE TRANSFORMADORES,7005118,707679.712,1387594.604,,8.09245,-76.72905,1/23/2008,1/23/2008,4/1/2020,3/8/2018,URBANO,47634794,0,400212,240/120,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,R,400212,1F,5837,TURBO
7005119,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,120/240,1,75,R,400214,400214,TURBO,EL CENTRO,,7005119,707703.682,1387624.107,,8.09272,-76.72855,1/23/2008,1/23/2008,4/5/2017,3/8/2018,URBANO,57431587,57354473,400214,120/240,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,R,400214,1F,5837,TURBO
7005121,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,240/120,1,75,R,400215,400215,TURBO,GAITAN,SIEMENS,7005121,707561.123,1387456.964,,8.0912,-76.72983,1/23/2008,1/23/2008,11/19/2019,3/8/2018,URBANO,47634785,57678516,400215,240/120,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,R,400215,1F,5837,TURBO
7005122,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,240/120,1,50,S,400419,400221,TURBO,GAITAN,RYMEL,7005122,707350.501,1387397.621,,8.09054,-76.73172,1/23/2008,1/23/2008,11/19/2019,3/8/2018,URBANO,53149436,57678030,400221,240/120,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,S,400221,1F,5837,TURBO
7005123,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,240/120,1,25,S,400222,400222,TURBO,EL CENTRO,MAGNETRON,7005123,707683.442,1387504.42,,8.09145,-76.72873,1/23/2008,1/23/2008,5/6/2020,3/8/2018,URBANO,70751903,57156638,400222,240/120,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,S,400222,1F,5837,TURBO
7005125,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,240/120,1,50,T,131933,400225,TURBO,EL CENTRO,MAGNETRON,7005125,707749.217,1387524.159,,8.09171,-76.72791,1/23/2008,5/5/2016,4/1/2020,3/8/2018,URBANO,47634801,57156641,400225,240/120,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,T,400225,1F,5837,TURBO
7005126,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,240/120,1,75,R,128109,400227,TURBO,EL CENTRO,MAGNETRON,7005126,707827.009,1387524.077,,8.09182,-76.72747,1/23/2008,11/25/2015,4/1/2020,3/8/2018,URBANO,57363779,57680037,400227,240/120,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,R,400227,1F,5837,TURBO
7005127,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,240/120,1,37.5,R,400226,400226,TURBO,EL CENTRO,RYMEL,7005127,707814.896,1387515.388,,8.0918,-76.72752,1/23/2008,1/23/2008,11/19/2019,3/8/2018,URBANO,57363779,57749177,400226,240/120,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,R,400226,1F,5837,TURBO
7005128,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,7.621,240/120,1,75,R,100034,400245,TURBO,EL CENTRO,RYMEL,7005128,707769.833,1387646.494,,8.09293,-76.72779,1/23/2008,1/23/2008,4/1/2020,3/8/2018,URBANO,57682143,57682155,400245,240/120,PRIMARIA,TURBO,AEREO,402-16,402-16,7.621,R,400245,1F,5837,TURBO
7005129,TURBO,URABA,,AEREO,TURBO,402-16,PRIMARIA,13.2,214/123,1,45,RST,126232,400244,TURBO,EL CENTRO,RYMEL,7005129,707786.631,1387650.514,,8.09301,-76.72779,1/23/2008,3/8/2016,4/1/2020,3/8/2018,URBANO,57682143,0,400244,214/123,PRIMARIA,TURBO,AEREO,402-16,402-16,13.2,RST,400244,3F,5837,TURBO
