CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
27037030,SAN JUAN NECHI - AUT [27037030],7.4750,-74.92083333,180,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Zaragoza,15/05/1976 00:00,,PRECIPITACION,PT_10_TT_D,Precipitación 10 minutal total diaria,Diaria,2019-01-01 00:00,0,50,,900
26185050,SANTA BARBARA - AUT [26185050],5.8595833330,-75.55627778,1680,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Santa Bárbara,30/11/2004 00:00,,PRECIPITACION,PT_10_TT_D,Precipitación 10 minutal total diaria,Diaria,2019-01-01 00:00,0,50,,900
26255030,SANTA ISABEL VALDIVIA - AUT [26255030],6.16,-75.44,1,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Rionegro,22/11/2004 00:00,,PRECIPITACION,PT_10_TT_D,Precipitación 10 minutal total diaria,Diaria,2019-01-01 00:00,0,50,,900
