,Circuit,Nombre_municipio,day,Month,District,ServiceType,NumberOT
0,217-11,EL CARMEN DE VIBORAL,21,9,Turbo TyD,Daños Energía,1
1,303-14,TURBO,17,4,Turbo TyD,Daños Energía,1
2,401-11,ANZÁ,1,8,Apartado TyD,Daños Energía,1
3,401-11,ANZÁ,8,3,Apartado TyD,Mantenimiento Energía,1
4,401-11,ANZÁ,13,5,Apartado TyD,Daños Energía,1
5,401-11,APARTADÓ,1,2,Apartado TyD,Daños Energía,4
6,401-11,APARTADÓ,1,2,Apartado TyD,Mantenimiento Energía,3
7,401-11,APARTADÓ,1,4,Apartado TyD,Daños Energía,2
8,401-11,APARTADÓ,1,5,Apartado TyD,Daños Energía,5
9,401-11,APARTADÓ,1,6,Apartado TyD,Daños Energía,1
10,401-11,APARTADÓ,1,7,Apartado TyD,Daños Energía,1
11,401-11,APARTADÓ,1,8,Apartado TyD,Daños Energía,1
12,401-11,APARTADÓ,1,8,Apartado TyD,Mantenimiento Energía,10
13,401-11,APARTADÓ,1,9,Apartado TyD,Daños Energía,6
14,401-11,APARTADÓ,1,10,Apartado TyD,Daños Energía,6
15,401-11,APARTADÓ,1,10,Apartado TyD,Mantenimiento Energía,2
16,401-11,APARTADÓ,2,1,Apartado TyD,Daños Energía,4
17,401-11,APARTADÓ,2,2,Apartado TyD,Daños Energía,1
18,401-11,APARTADÓ,2,4,Apartado TyD,Daños Energía,8
19,401-11,APARTADÓ,2,4,Apartado TyD,Mantenimiento Energía,4
20,401-11,APARTADÓ,2,5,Apartado TyD,Daños Energía,6
21,401-11,APARTADÓ,2,5,Apartado TyD,Mantenimiento Energía,1
22,401-11,APARTADÓ,2,6,Apartado TyD,Daños Energía,2
23,401-11,APARTADÓ,2,6,Apartado TyD,Mantenimiento Energía,2
24,401-11,APARTADÓ,2,7,Apartado TyD,Daños Energía,6
25,401-11,APARTADÓ,2,7,Apartado TyD,Mantenimiento Energía,1
26,401-11,APARTADÓ,2,8,Apartado TyD,Daños Energía,2
27,401-11,APARTADÓ,2,8,Apartado TyD,Mantenimiento Energía,2
28,401-11,APARTADÓ,2,9,Apartado TyD,Daños Energía,9
29,401-11,APARTADÓ,2,10,Apartado TyD,Daños Energía,2
30,401-11,APARTADÓ,2,10,Apartado TyD,Mantenimiento Energía,1
31,401-11,APARTADÓ,2,11,Apartado TyD,Daños Energía,5
32,401-11,APARTADÓ,2,12,Apartado TyD,Daños Energía,3
33,401-11,APARTADÓ,2,12,Apartado TyD,Mantenimiento Energía,1
34,401-11,APARTADÓ,3,1,Apartado TyD,Daños Energía,3
35,401-11,APARTADÓ,3,3,Apartado TyD,Daños Energía,2
36,401-11,APARTADÓ,3,4,Apartado TyD,Daños Energía,2
37,401-11,APARTADÓ,3,4,Apartado TyD,Mantenimiento Energía,4
38,401-11,APARTADÓ,3,5,Apartado TyD,Daños Energía,2
39,401-11,APARTADÓ,3,6,Apartado TyD,Daños Energía,4
40,401-11,APARTADÓ,3,6,Apartado TyD,Mantenimiento Energía,3
41,401-11,APARTADÓ,3,7,Apartado TyD,Daños Energía,5
42,401-11,APARTADÓ,3,7,Apartado TyD,Mantenimiento Energía,11
43,401-11,APARTADÓ,3,8,Apartado TyD,Daños Energía,1
44,401-11,APARTADÓ,3,9,Apartado TyD,Daños Energía,7
45,401-11,APARTADÓ,3,10,Apartado TyD,Daños Energía,5
46,401-11,APARTADÓ,3,10,Apartado TyD,Mantenimiento Energía,2
47,401-11,APARTADÓ,3,11,Apartado TyD,Daños Energía,1
48,401-11,APARTADÓ,3,11,Apartado TyD,Mantenimiento Energía,1
49,401-11,APARTADÓ,3,12,Apartado TyD,Daños Energía,6
50,401-11,APARTADÓ,3,12,Apartado TyD,Mantenimiento Energía,1
51,401-11,APARTADÓ,4,1,Apartado TyD,Daños Energía,1
52,401-11,APARTADÓ,4,1,Apartado TyD,Mantenimiento Energía,1
53,401-11,APARTADÓ,4,2,Apartado TyD,Daños Energía,2
54,401-11,APARTADÓ,4,3,Apartado TyD,Daños Energía,2
55,401-11,APARTADÓ,4,4,Apartado TyD,Daños Energía,3
56,401-11,APARTADÓ,4,5,Apartado TyD,Daños Energía,2
57,401-11,APARTADÓ,4,6,Apartado TyD,Daños Energía,10
58,401-11,APARTADÓ,4,6,Apartado TyD,Mantenimiento Energía,17
59,401-11,APARTADÓ,4,7,Apartado TyD,Daños Energía,2
60,401-11,APARTADÓ,4,8,Apartado TyD,Daños Energía,4
61,401-11,APARTADÓ,4,9,Apartado TyD,Daños Energía,8
62,401-11,APARTADÓ,4,11,Apartado TyD,Daños Energía,7
63,401-11,APARTADÓ,4,11,Apartado TyD,Mantenimiento Energía,1
64,401-11,APARTADÓ,4,12,Apartado TyD,Daños Energía,1
65,401-11,APARTADÓ,5,1,Apartado TyD,Daños Energía,4
66,401-11,APARTADÓ,5,2,Apartado TyD,Daños Energía,3
67,401-11,APARTADÓ,5,4,Apartado TyD,Daños Energía,2
68,401-11,APARTADÓ,5,4,Apartado TyD,Mantenimiento Energía,8
69,401-11,APARTADÓ,5,5,Apartado TyD,Mantenimiento Energía,8
70,401-11,APARTADÓ,5,6,Apartado TyD,Daños Energía,1
71,401-11,APARTADÓ,5,7,Apartado TyD,Daños Energía,7
72,401-11,APARTADÓ,5,7,Apartado TyD,Mantenimiento Energía,1
73,401-11,APARTADÓ,5,8,Apartado TyD,Daños Energía,4
74,401-11,APARTADÓ,5,9,Apartado TyD,Daños Energía,5
75,401-11,APARTADÓ,5,9,Apartado TyD,Mantenimiento Energía,2
76,401-11,APARTADÓ,5,10,Apartado TyD,Daños Energía,3
77,401-11,APARTADÓ,5,11,Apartado TyD,Daños Energía,5
78,401-11,APARTADÓ,5,11,Apartado TyD,Mantenimiento Energía,5
79,401-11,APARTADÓ,5,12,Apartado TyD,Daños Energía,2
80,401-11,APARTADÓ,6,1,Apartado TyD,Daños Energía,2
81,401-11,APARTADÓ,6,2,Apartado TyD,Daños Energía,4
82,401-11,APARTADÓ,6,2,Apartado TyD,Mantenimiento Energía,4
83,401-11,APARTADÓ,6,3,Apartado TyD,Daños Energía,6
84,401-11,APARTADÓ,6,3,Apartado TyD,Mantenimiento Energía,4
85,401-11,APARTADÓ,6,4,Apartado TyD,Daños Energía,4
86,401-11,APARTADÓ,6,5,Apartado TyD,Daños Energía,4
87,401-11,APARTADÓ,6,6,Apartado TyD,Daños Energía,1
88,401-11,APARTADÓ,6,7,Apartado TyD,Daños Energía,6
89,401-11,APARTADÓ,6,7,Apartado TyD,Mantenimiento Energía,2
90,401-11,APARTADÓ,6,8,Apartado TyD,Daños Energía,1
91,401-11,APARTADÓ,6,9,Apartado TyD,Daños Energía,7
92,401-11,APARTADÓ,6,11,Apartado TyD,Daños Energía,7
93,401-11,APARTADÓ,6,11,Apartado TyD,Mantenimiento Energía,5
94,401-11,APARTADÓ,6,12,Apartado TyD,Daños Energía,1
95,401-11,APARTADÓ,6,12,Apartado TyD,Mantenimiento Energía,1
96,401-11,APARTADÓ,7,1,Apartado TyD,Daños Energía,4
97,401-11,APARTADÓ,7,1,Apartado TyD,Mantenimiento Energía,8
98,401-11,APARTADÓ,7,2,Apartado TyD,Mantenimiento Energía,2
99,401-11,APARTADÓ,7,3,Apartado TyD,Daños Energía,7
100,401-11,APARTADÓ,7,3,Apartado TyD,Mantenimiento Energía,1
101,401-11,APARTADÓ,7,4,Apartado TyD,Daños Energía,2
102,401-11,APARTADÓ,7,5,Apartado TyD,Daños Energía,2
103,401-11,APARTADÓ,7,6,Apartado TyD,Daños Energía,3
104,401-11,APARTADÓ,7,6,Apartado TyD,Mantenimiento Energía,2
105,401-11,APARTADÓ,7,7,Apartado TyD,Daños Energía,2
106,401-11,APARTADÓ,7,7,Apartado TyD,Mantenimiento Energía,1
107,401-11,APARTADÓ,7,8,Apartado TyD,Daños Energía,3
108,401-11,APARTADÓ,7,9,Apartado TyD,Daños Energía,2
109,401-11,APARTADÓ,7,9,Apartado TyD,Mantenimiento Energía,1
110,401-11,APARTADÓ,7,10,Apartado TyD,Daños Energía,1
111,401-11,APARTADÓ,7,10,Apartado TyD,Mantenimiento Energía,2
112,401-11,APARTADÓ,7,11,Apartado TyD,Daños Energía,2
113,401-11,APARTADÓ,7,11,Apartado TyD,Mantenimiento Energía,2
114,401-11,APARTADÓ,7,12,Apartado TyD,Daños Energía,1
115,401-11,APARTADÓ,8,1,Apartado TyD,Daños Energía,3
116,401-11,APARTADÓ,8,1,Apartado TyD,Mantenimiento Energía,5
117,401-11,APARTADÓ,8,2,Apartado TyD,Mantenimiento Energía,3
118,401-11,APARTADÓ,8,3,Apartado TyD,Daños Energía,1
119,401-11,APARTADÓ,8,3,Apartado TyD,Mantenimiento Energía,1
120,401-11,APARTADÓ,8,4,Apartado TyD,Daños Energía,3
121,401-11,APARTADÓ,8,4,Apartado TyD,Mantenimiento Energía,4
122,401-11,APARTADÓ,8,5,Apartado TyD,Daños Energía,3
123,401-11,APARTADÓ,8,5,Apartado TyD,Mantenimiento Energía,1
124,401-11,APARTADÓ,8,6,Apartado TyD,Daños Energía,2
125,401-11,APARTADÓ,8,7,Apartado TyD,Daños Energía,5
126,401-11,APARTADÓ,8,8,Apartado TyD,Daños Energía,2
127,401-11,APARTADÓ,8,9,Apartado TyD,Daños Energía,2
128,401-11,APARTADÓ,8,10,Apartado TyD,Daños Energía,1
129,401-11,APARTADÓ,8,10,Apartado TyD,Mantenimiento Energía,2
130,401-11,APARTADÓ,8,11,Apartado TyD,Daños Energía,1
131,401-11,APARTADÓ,9,1,Apartado TyD,Daños Energía,4
132,401-11,APARTADÓ,9,3,Apartado TyD,Daños Energía,1
133,401-11,APARTADÓ,9,4,Apartado TyD,Daños Energía,3
134,401-11,APARTADÓ,9,4,Apartado TyD,Mantenimiento Energía,3
135,401-11,APARTADÓ,9,5,Apartado TyD,Daños Energía,1
136,401-11,APARTADÓ,9,5,Apartado TyD,Mantenimiento Energía,2
137,401-11,APARTADÓ,9,6,Apartado TyD,Daños Energía,1
138,401-11,APARTADÓ,9,7,Apartado TyD,Daños Energía,4
139,401-11,APARTADÓ,9,7,Apartado TyD,Mantenimiento Energía,19
140,401-11,APARTADÓ,9,8,Apartado TyD,Daños Energía,4
141,401-11,APARTADÓ,9,9,Apartado TyD,Daños Energía,5
142,401-11,APARTADÓ,9,9,Apartado TyD,Mantenimiento Energía,4
143,401-11,APARTADÓ,9,10,Apartado TyD,Daños Energía,1
144,401-11,APARTADÓ,9,10,Apartado TyD,Mantenimiento Energía,2
145,401-11,APARTADÓ,9,11,Apartado TyD,Daños Energía,1
146,401-11,APARTADÓ,9,12,Apartado TyD,Daños Energía,2
147,401-11,APARTADÓ,9,12,Apartado TyD,Mantenimiento Energía,3
148,401-11,APARTADÓ,10,1,Apartado TyD,Daños Energía,6
149,401-11,APARTADÓ,10,1,Apartado TyD,Mantenimiento Energía,2
150,401-11,APARTADÓ,10,2,Apartado TyD,Mantenimiento Energía,2
151,401-11,APARTADÓ,10,4,Apartado TyD,Daños Energía,7
152,401-11,APARTADÓ,10,6,Apartado TyD,Daños Energía,5
153,401-11,APARTADÓ,10,6,Apartado TyD,Mantenimiento Energía,1
154,401-11,APARTADÓ,10,8,Apartado TyD,Daños Energía,2
155,401-11,APARTADÓ,10,9,Apartado TyD,Daños Energía,7
156,401-11,APARTADÓ,10,9,Apartado TyD,Mantenimiento Energía,5
157,401-11,APARTADÓ,10,10,Apartado TyD,Daños Energía,2
158,401-11,APARTADÓ,10,10,Apartado TyD,Mantenimiento Energía,1
159,401-11,APARTADÓ,10,12,Apartado TyD,Daños Energía,4
160,401-11,APARTADÓ,11,1,Apartado TyD,Daños Energía,2
161,401-11,APARTADÓ,11,1,Apartado TyD,Mantenimiento Energía,1
162,401-11,APARTADÓ,11,2,Apartado TyD,Daños Energía,2
163,401-11,APARTADÓ,11,2,Apartado TyD,Mantenimiento Energía,1
164,401-11,APARTADÓ,11,3,Apartado TyD,Daños Energía,5
165,401-11,APARTADÓ,11,3,Apartado TyD,Mantenimiento Energía,1
166,401-11,APARTADÓ,11,4,Apartado TyD,Daños Energía,5
167,401-11,APARTADÓ,11,5,Apartado TyD,Daños Energía,2
168,401-11,APARTADÓ,11,6,Apartado TyD,Daños Energía,2
169,401-11,APARTADÓ,11,7,Apartado TyD,Daños Energía,5
170,401-11,APARTADÓ,11,8,Apartado TyD,Daños Energía,2
171,401-11,APARTADÓ,11,9,Apartado TyD,Daños Energía,7
172,401-11,APARTADÓ,11,9,Apartado TyD,Mantenimiento Energía,1
173,401-11,APARTADÓ,11,10,Apartado TyD,Mantenimiento Energía,1
174,401-11,APARTADÓ,11,11,Apartado TyD,Daños Energía,2
175,401-11,APARTADÓ,11,12,Apartado TyD,Mantenimiento Energía,1
176,401-11,APARTADÓ,12,1,Apartado TyD,Daños Energía,1
177,401-11,APARTADÓ,12,2,Apartado TyD,Daños Energía,2
178,401-11,APARTADÓ,12,2,Apartado TyD,Mantenimiento Energía,1
179,401-11,APARTADÓ,12,3,Apartado TyD,Daños Energía,2
180,401-11,APARTADÓ,12,4,Apartado TyD,Daños Energía,1
181,401-11,APARTADÓ,12,4,Apartado TyD,Mantenimiento Energía,1
182,401-11,APARTADÓ,12,7,Apartado TyD,Daños Energía,3
183,401-11,APARTADÓ,12,8,Apartado TyD,Daños Energía,6
184,401-11,APARTADÓ,12,9,Apartado TyD,Daños Energía,7
185,401-11,APARTADÓ,12,9,Apartado TyD,Mantenimiento Energía,2
186,401-11,APARTADÓ,12,10,Apartado TyD,Daños Energía,2
187,401-11,APARTADÓ,12,11,Apartado TyD,Daños Energía,1
188,401-11,APARTADÓ,12,11,Apartado TyD,Mantenimiento Energía,1
189,401-11,APARTADÓ,12,12,Apartado TyD,Daños Energía,1
190,401-11,APARTADÓ,13,2,Apartado TyD,Daños Energía,1
191,401-11,APARTADÓ,13,2,Apartado TyD,Mantenimiento Energía,2
192,401-11,APARTADÓ,13,3,Apartado TyD,Daños Energía,5
193,401-11,APARTADÓ,13,3,Apartado TyD,Mantenimiento Energía,10
194,401-11,APARTADÓ,13,4,Apartado TyD,Daños Energía,1
195,401-11,APARTADÓ,13,5,Apartado TyD,Daños Energía,3
196,401-11,APARTADÓ,13,5,Apartado TyD,Mantenimiento Energía,2
197,401-11,APARTADÓ,13,6,Apartado TyD,Daños Energía,4
198,401-11,APARTADÓ,13,7,Apartado TyD,Daños Energía,7
199,401-11,APARTADÓ,13,8,Apartado TyD,Daños Energía,5
200,401-11,APARTADÓ,13,8,Apartado TyD,Mantenimiento Energía,5
201,401-11,APARTADÓ,13,9,Apartado TyD,Daños Energía,3
202,401-11,APARTADÓ,13,9,Apartado TyD,Mantenimiento Energía,3
203,401-11,APARTADÓ,13,10,Apartado TyD,Daños Energía,2
204,401-11,APARTADÓ,13,11,Apartado TyD,Daños Energía,3
205,401-11,APARTADÓ,13,12,Apartado TyD,Daños Energía,5
206,401-11,APARTADÓ,14,1,Apartado TyD,Daños Energía,2
207,401-11,APARTADÓ,14,1,Apartado TyD,Mantenimiento Energía,1
208,401-11,APARTADÓ,14,2,Apartado TyD,Daños Energía,1
209,401-11,APARTADÓ,14,3,Apartado TyD,Daños Energía,2
210,401-11,APARTADÓ,14,3,Apartado TyD,Mantenimiento Energía,2
211,401-11,APARTADÓ,14,4,Apartado TyD,Daños Energía,7
212,401-11,APARTADÓ,14,4,Apartado TyD,Mantenimiento Energía,2
213,401-11,APARTADÓ,14,7,Apartado TyD,Daños Energía,2
214,401-11,APARTADÓ,14,8,Apartado TyD,Daños Energía,2
215,401-11,APARTADÓ,14,10,Apartado TyD,Daños Energía,2
216,401-11,APARTADÓ,14,11,Apartado TyD,Daños Energía,2
217,401-11,APARTADÓ,14,11,Apartado TyD,Mantenimiento Energía,1
218,401-11,APARTADÓ,14,12,Apartado TyD,Daños Energía,2
219,401-11,APARTADÓ,15,1,Apartado TyD,Daños Energía,1
220,401-11,APARTADÓ,15,2,Apartado TyD,Daños Energía,2
221,401-11,APARTADÓ,15,3,Apartado TyD,Daños Energía,8
222,401-11,APARTADÓ,15,4,Apartado TyD,Daños Energía,2
223,401-11,APARTADÓ,15,4,Apartado TyD,Mantenimiento Energía,5
224,401-11,APARTADÓ,15,5,Apartado TyD,Daños Energía,3
225,401-11,APARTADÓ,15,5,Apartado TyD,Mantenimiento Energía,10
226,401-11,APARTADÓ,15,6,Apartado TyD,Daños Energía,3
227,401-11,APARTADÓ,15,7,Apartado TyD,Daños Energía,4
228,401-11,APARTADÓ,15,7,Apartado TyD,Mantenimiento Energía,2
229,401-11,APARTADÓ,15,8,Apartado TyD,Daños Energía,3
230,401-11,APARTADÓ,15,9,Apartado TyD,Daños Energía,4
231,401-11,APARTADÓ,15,10,Apartado TyD,Daños Energía,1
232,401-11,APARTADÓ,15,10,Apartado TyD,Mantenimiento Energía,3
233,401-11,APARTADÓ,15,11,Apartado TyD,Daños Energía,3
234,401-11,APARTADÓ,15,11,Apartado TyD,Mantenimiento Energía,1
235,401-11,APARTADÓ,15,12,Apartado TyD,Daños Energía,2
236,401-11,APARTADÓ,16,1,Apartado TyD,Daños Energía,1
237,401-11,APARTADÓ,16,1,Apartado TyD,Mantenimiento Energía,1
238,401-11,APARTADÓ,16,2,Apartado TyD,Daños Energía,3
239,401-11,APARTADÓ,16,3,Apartado TyD,Daños Energía,5
240,401-11,APARTADÓ,16,3,Apartado TyD,Mantenimiento Energía,1
241,401-11,APARTADÓ,16,4,Apartado TyD,Daños Energía,2
242,401-11,APARTADÓ,16,5,Apartado TyD,Daños Energía,4
243,401-11,APARTADÓ,16,6,Apartado TyD,Daños Energía,4
244,401-11,APARTADÓ,16,7,Apartado TyD,Daños Energía,6
245,401-11,APARTADÓ,16,8,Apartado TyD,Daños Energía,3
246,401-11,APARTADÓ,16,9,Apartado TyD,Daños Energía,4
247,401-11,APARTADÓ,16,10,Apartado TyD,Daños Energía,7
248,401-11,APARTADÓ,16,12,Apartado TyD,Daños Energía,1
249,401-11,APARTADÓ,16,12,Apartado TyD,Mantenimiento Energía,1
250,401-11,APARTADÓ,17,1,Apartado TyD,Mantenimiento Energía,1
251,401-11,APARTADÓ,17,2,Apartado TyD,Daños Energía,2
252,401-11,APARTADÓ,17,2,Apartado TyD,Mantenimiento Energía,2
253,401-11,APARTADÓ,17,3,Apartado TyD,Daños Energía,1
254,401-11,APARTADÓ,17,4,Apartado TyD,Daños Energía,6
255,401-11,APARTADÓ,17,4,Apartado TyD,Mantenimiento Energía,4
256,401-11,APARTADÓ,17,5,Apartado TyD,Daños Energía,8
257,401-11,APARTADÓ,17,6,Apartado TyD,Daños Energía,11
258,401-11,APARTADÓ,17,6,Apartado TyD,Mantenimiento Energía,3
259,401-11,APARTADÓ,17,7,Apartado TyD,Daños Energía,1
260,401-11,APARTADÓ,17,7,Apartado TyD,Mantenimiento Energía,1
261,401-11,APARTADÓ,17,8,Apartado TyD,Daños Energía,1
262,401-11,APARTADÓ,17,9,Apartado TyD,Daños Energía,1
263,401-11,APARTADÓ,17,9,Apartado TyD,Mantenimiento Energía,2
264,401-11,APARTADÓ,17,10,Apartado TyD,Daños Energía,1
265,401-11,APARTADÓ,17,11,Apartado TyD,Daños Energía,1
266,401-11,APARTADÓ,17,12,Apartado TyD,Daños Energía,3
267,401-11,APARTADÓ,17,12,Apartado TyD,Mantenimiento Energía,7
268,401-11,APARTADÓ,18,1,Apartado TyD,Daños Energía,3
269,401-11,APARTADÓ,18,1,Apartado TyD,Mantenimiento Energía,2
270,401-11,APARTADÓ,18,2,Apartado TyD,Daños Energía,2
271,401-11,APARTADÓ,18,2,Apartado TyD,Mantenimiento Energía,1
272,401-11,APARTADÓ,18,3,Apartado TyD,Daños Energía,5
273,401-11,APARTADÓ,18,3,Apartado TyD,Mantenimiento Energía,1
274,401-11,APARTADÓ,18,4,Apartado TyD,Daños Energía,1
275,401-11,APARTADÓ,18,5,Apartado TyD,Daños Energía,3
276,401-11,APARTADÓ,18,5,Apartado TyD,Mantenimiento Energía,2
277,401-11,APARTADÓ,18,6,Apartado TyD,Daños Energía,4
278,401-11,APARTADÓ,18,7,Apartado TyD,Daños Energía,6
279,401-11,APARTADÓ,18,9,Apartado TyD,Daños Energía,2
280,401-11,APARTADÓ,18,9,Apartado TyD,Mantenimiento Energía,1
281,401-11,APARTADÓ,18,10,Apartado TyD,Daños Energía,2
282,401-11,APARTADÓ,18,10,Apartado TyD,Mantenimiento Energía,1
283,401-11,APARTADÓ,18,11,Apartado TyD,Daños Energía,2
284,401-11,APARTADÓ,18,11,Apartado TyD,Mantenimiento Energía,2
285,401-11,APARTADÓ,18,12,Apartado TyD,Daños Energía,1
286,401-11,APARTADÓ,18,12,Apartado TyD,Mantenimiento Energía,1
287,401-11,APARTADÓ,19,1,Apartado TyD,Daños Energía,2
288,401-11,APARTADÓ,19,2,Apartado TyD,Daños Energía,1
289,401-11,APARTADÓ,19,3,Apartado TyD,Daños Energía,12
290,401-11,APARTADÓ,19,3,Apartado TyD,Mantenimiento Energía,1
291,401-11,APARTADÓ,19,4,Apartado TyD,Mantenimiento Energía,1
292,401-11,APARTADÓ,19,5,Apartado TyD,Daños Energía,1
293,401-11,APARTADÓ,19,5,Apartado TyD,Mantenimiento Energía,6
294,401-11,APARTADÓ,19,6,Apartado TyD,Daños Energía,3
295,401-11,APARTADÓ,19,7,Apartado TyD,Daños Energía,3
296,401-11,APARTADÓ,19,7,Apartado TyD,Mantenimiento Energía,2
297,401-11,APARTADÓ,19,8,Apartado TyD,Daños Energía,1
298,401-11,APARTADÓ,19,9,Apartado TyD,Daños Energía,3
299,401-11,APARTADÓ,19,10,Apartado TyD,Daños Energía,1
300,401-11,APARTADÓ,19,11,Apartado TyD,Daños Energía,3
301,401-11,APARTADÓ,19,11,Apartado TyD,Mantenimiento Energía,2
302,401-11,APARTADÓ,19,12,Apartado TyD,Daños Energía,4
303,401-11,APARTADÓ,19,12,Apartado TyD,Mantenimiento Energía,10
304,401-11,APARTADÓ,20,1,Apartado TyD,Daños Energía,1
305,401-11,APARTADÓ,20,1,Apartado TyD,Mantenimiento Energía,1
306,401-11,APARTADÓ,20,2,Apartado TyD,Daños Energía,2
307,401-11,APARTADÓ,20,2,Apartado TyD,Mantenimiento Energía,1
308,401-11,APARTADÓ,20,3,Apartado TyD,Daños Energía,4
309,401-11,APARTADÓ,20,4,Apartado TyD,Daños Energía,14
310,401-11,APARTADÓ,20,5,Apartado TyD,Daños Energía,5
311,401-11,APARTADÓ,20,5,Apartado TyD,Mantenimiento Energía,1
312,401-11,APARTADÓ,20,6,Apartado TyD,Daños Energía,4
313,401-11,APARTADÓ,20,7,Apartado TyD,Daños Energía,2
314,401-11,APARTADÓ,20,10,Apartado TyD,Daños Energía,3
315,401-11,APARTADÓ,20,11,Apartado TyD,Daños Energía,4
316,401-11,APARTADÓ,20,11,Apartado TyD,Mantenimiento Energía,2
317,401-11,APARTADÓ,20,12,Apartado TyD,Daños Energía,4
318,401-11,APARTADÓ,21,1,Apartado TyD,Daños Energía,2
319,401-11,APARTADÓ,21,1,Apartado TyD,Mantenimiento Energía,5
320,401-11,APARTADÓ,21,2,Apartado TyD,Daños Energía,1
321,401-11,APARTADÓ,21,2,Apartado TyD,Mantenimiento Energía,8
322,401-11,APARTADÓ,21,3,Apartado TyD,Daños Energía,4
323,401-11,APARTADÓ,21,4,Apartado TyD,Daños Energía,6
324,401-11,APARTADÓ,21,5,Apartado TyD,Daños Energía,2
325,401-11,APARTADÓ,21,5,Apartado TyD,Mantenimiento Energía,1
326,401-11,APARTADÓ,21,6,Apartado TyD,Daños Energía,1
327,401-11,APARTADÓ,21,6,Apartado TyD,Mantenimiento Energía,12
328,401-11,APARTADÓ,21,9,Apartado TyD,Daños Energía,5
329,401-11,APARTADÓ,21,10,Apartado TyD,Daños Energía,2
330,401-11,APARTADÓ,21,10,Apartado TyD,Mantenimiento Energía,1
331,401-11,APARTADÓ,21,11,Apartado TyD,Daños Energía,3
332,401-11,APARTADÓ,21,11,Apartado TyD,Mantenimiento Energía,3
333,401-11,APARTADÓ,21,12,Apartado TyD,Daños Energía,1
334,401-11,APARTADÓ,22,1,Apartado TyD,Daños Energía,1
335,401-11,APARTADÓ,22,1,Apartado TyD,Mantenimiento Energía,1
336,401-11,APARTADÓ,22,2,Apartado TyD,Daños Energía,1
337,401-11,APARTADÓ,22,2,Apartado TyD,Mantenimiento Energía,1
338,401-11,APARTADÓ,22,3,Apartado TyD,Daños Energía,4
339,401-11,APARTADÓ,22,3,Apartado TyD,Mantenimiento Energía,2
340,401-11,APARTADÓ,22,4,Apartado TyD,Daños Energía,8
341,401-11,APARTADÓ,22,5,Apartado TyD,Daños Energía,1
342,401-11,APARTADÓ,22,5,Apartado TyD,Mantenimiento Energía,3
343,401-11,APARTADÓ,22,6,Apartado TyD,Daños Energía,2
344,401-11,APARTADÓ,22,6,Apartado TyD,Mantenimiento Energía,1
345,401-11,APARTADÓ,22,7,Apartado TyD,Daños Energía,8
346,401-11,APARTADÓ,22,7,Apartado TyD,Mantenimiento Energía,2
347,401-11,APARTADÓ,22,8,Apartado TyD,Daños Energía,5
348,401-11,APARTADÓ,22,10,Apartado TyD,Daños Energía,5
349,401-11,APARTADÓ,22,10,Apartado TyD,Mantenimiento Energía,2
350,401-11,APARTADÓ,22,11,Apartado TyD,Daños Energía,2
351,401-11,APARTADÓ,22,12,Apartado TyD,Daños Energía,2
352,401-11,APARTADÓ,23,1,Apartado TyD,Daños Energía,2
353,401-11,APARTADÓ,23,2,Apartado TyD,Daños Energía,2
354,401-11,APARTADÓ,23,3,Apartado TyD,Daños Energía,3
355,401-11,APARTADÓ,23,3,Apartado TyD,Mantenimiento Energía,1
356,401-11,APARTADÓ,23,4,Apartado TyD,Daños Energía,7
357,401-11,APARTADÓ,23,5,Apartado TyD,Daños Energía,7
358,401-11,APARTADÓ,23,5,Apartado TyD,Mantenimiento Energía,3
359,401-11,APARTADÓ,23,7,Apartado TyD,Daños Energía,8
360,401-11,APARTADÓ,23,8,Apartado TyD,Daños Energía,2
361,401-11,APARTADÓ,23,8,Apartado TyD,Mantenimiento Energía,1
362,401-11,APARTADÓ,23,9,Apartado TyD,Mantenimiento Energía,1
363,401-11,APARTADÓ,23,10,Apartado TyD,Daños Energía,4
364,401-11,APARTADÓ,23,10,Apartado TyD,Mantenimiento Energía,2
365,401-11,APARTADÓ,23,11,Apartado TyD,Daños Energía,2
366,401-11,APARTADÓ,23,12,Apartado TyD,Daños Energía,3
367,401-11,APARTADÓ,24,1,Apartado TyD,Daños Energía,4
368,401-11,APARTADÓ,24,1,Apartado TyD,Mantenimiento Energía,2
369,401-11,APARTADÓ,24,2,Apartado TyD,Daños Energía,2
370,401-11,APARTADÓ,24,2,Apartado TyD,Mantenimiento Energía,1
371,401-11,APARTADÓ,24,3,Apartado TyD,Daños Energía,4
372,401-11,APARTADÓ,24,4,Apartado TyD,Daños Energía,7
373,401-11,APARTADÓ,24,4,Apartado TyD,Mantenimiento Energía,1
374,401-11,APARTADÓ,24,5,Apartado TyD,Daños Energía,5
375,401-11,APARTADÓ,24,5,Apartado TyD,Mantenimiento Energía,7
376,401-11,APARTADÓ,24,6,Apartado TyD,Daños Energía,3
377,401-11,APARTADÓ,24,7,Apartado TyD,Daños Energía,4
378,401-11,APARTADÓ,24,8,Apartado TyD,Daños Energía,2
379,401-11,APARTADÓ,24,8,Apartado TyD,Mantenimiento Energía,1
380,401-11,APARTADÓ,24,9,Apartado TyD,Daños Energía,1
381,401-11,APARTADÓ,24,9,Apartado TyD,Mantenimiento Energía,1
382,401-11,APARTADÓ,24,10,Apartado TyD,Daños Energía,4
