,Nombre_municipio,Month,District,ServiceType,day,weekday,Date,NumberOT
87,APARTADÓ,2,Apartado TyD,Daños Energía,14,3,2019-02-14,12
88,APARTADÓ,2,Apartado TyD,Daños Energía,15,4,2019-02-15,9
89,APARTADÓ,2,Apartado TyD,Daños Energía,16,5,2019-02-16,7
91,APARTADÓ,2,Apartado TyD,Daños Energía,18,0,2019-02-18,5
92,APARTADÓ,2,Apartado TyD,Daños Energía,19,1,2019-02-19,12
93,APARTADÓ,2,Apartado TyD,Daños Energía,20,2,2019-02-20,3
94,APARTADÓ,2,Apartado TyD,Daños Energía,21,3,2019-02-21,5
95,APARTADÓ,2,Apartado TyD,Daños Energía,22,4,2019-02-22,5
96,APARTADÓ,2,Apartado TyD,Daños Energía,23,5,2019-02-23,10
98,APARTADÓ,2,Apartado TyD,Daños Energía,25,0,2019-02-25,8
99,APARTADÓ,2,Apartado TyD,Daños Energía,26,1,2019-02-26,10
100,APARTADÓ,2,Apartado TyD,Daños Energía,27,2,2019-02-27,8
102,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,1,4,2019-02-01,4
103,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,5,1,2019-02-05,2
104,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,6,2,2019-02-06,4
105,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,7,3,2019-02-07,2
106,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,8,4,2019-02-08,5
107,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,10,6,2019-02-10,2
109,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,12,1,2019-02-12,2
110,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,13,2,2019-02-13,2
112,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,17,6,2019-02-17,2
113,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,18,0,2019-02-18,1
115,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,20,2,2019-02-20,1
116,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,21,3,2019-02-21,18
117,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,22,4,2019-02-22,1
118,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,24,6,2019-02-24,1
119,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,25,0,2019-02-25,2
120,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,26,1,2019-02-26,2
121,APARTADÓ,2,Apartado TyD,Mantenimiento Energía,27,2,2019-02-27,4
123,APARTADÓ,2,Turbo TyD,Daños Energía,13,2,2019-02-13,2
124,APARTADÓ,2,Turbo TyD,Daños Energía,21,3,2019-02-21,1
125,APARTADÓ,2,Turbo TyD,Daños Energía,23,5,2019-02-23,2
126,APARTADÓ,2,Turbo TyD,Mantenimiento Energía,18,0,2019-02-18,1
128,APARTADÓ,3,Apartado TyD,Daños Energía,2,5,2019-03-02,1
130,APARTADÓ,3,Apartado TyD,Daños Energía,4,0,2019-03-04,12
132,APARTADÓ,3,Apartado TyD,Daños Energía,6,2,2019-03-06,14
135,APARTADÓ,3,Apartado TyD,Daños Energía,9,5,2019-03-09,6
137,APARTADÓ,3,Apartado TyD,Daños Energía,11,0,2019-03-11,15
140,APARTADÓ,3,Apartado TyD,Daños Energía,14,3,2019-03-14,6
142,APARTADÓ,3,Apartado TyD,Daños Energía,16,5,2019-03-16,10
143,APARTADÓ,3,Apartado TyD,Daños Energía,17,6,2019-03-17,4
144,APARTADÓ,3,Apartado TyD,Daños Energía,18,0,2019-03-18,10
145,APARTADÓ,3,Apartado TyD,Daños Energía,19,1,2019-03-19,41
149,APARTADÓ,3,Apartado TyD,Daños Energía,23,5,2019-03-23,5
