,Nombre_municipio,Month,District,ServiceType,day,weekday,Date,NumberOT
1338,CAREPA,3,Apartado TyD,Daños Energía,1,4,2019-03-01,5
1339,CAREPA,3,Apartado TyD,Daños Energía,2,5,2019-03-02,3
1340,CAREPA,3,Apartado TyD,Daños Energía,3,6,2019-03-03,3
1342,CAREPA,3,Apartado TyD,Daños Energía,5,1,2019-03-05,9
1344,CAREPA,3,Apartado TyD,Daños Energía,7,3,2019-03-07,7
1345,CAREPA,3,Apartado TyD,Daños Energía,8,4,2019-03-08,8
1346,CAREPA,3,Apartado TyD,Daños Energía,9,5,2019-03-09,8
1347,CAREPA,3,Apartado TyD,Daños Energía,10,6,2019-03-10,4
1349,CAREPA,3,Apartado TyD,Daños Energía,12,1,2019-03-12,7
1350,CAREPA,3,Apartado TyD,Daños Energía,13,2,2019-03-13,7
1351,CAREPA,3,Apartado TyD,Daños Energía,14,3,2019-03-14,8
1352,CAREPA,3,Apartado TyD,Daños Energía,15,4,2019-03-15,5
1353,CAREPA,3,Apartado TyD,Daños Energía,16,5,2019-03-16,5
1355,CAREPA,3,Apartado TyD,Daños Energía,18,0,2019-03-18,4
1356,CAREPA,3,Apartado TyD,Daños Energía,19,1,2019-03-19,7
1357,CAREPA,3,Apartado TyD,Daños Energía,20,2,2019-03-20,10
1359,CAREPA,3,Apartado TyD,Daños Energía,22,4,2019-03-22,8
1360,CAREPA,3,Apartado TyD,Daños Energía,23,5,2019-03-23,1
1361,CAREPA,3,Apartado TyD,Daños Energía,24,6,2019-03-24,2
1363,CAREPA,3,Apartado TyD,Daños Energía,27,2,2019-03-27,8
1364,CAREPA,3,Apartado TyD,Daños Energía,28,3,2019-03-28,8
1365,CAREPA,3,Apartado TyD,Daños Energía,29,4,2019-03-29,8
1366,CAREPA,3,Apartado TyD,Daños Energía,30,5,2019-03-30,5
1367,CAREPA,3,Apartado TyD,Daños Energía,31,6,2019-03-31,3
1368,CAREPA,3,Apartado TyD,Mantenimiento Energía,1,4,2019-03-01,3
1369,CAREPA,3,Apartado TyD,Mantenimiento Energía,5,1,2019-03-05,2
1370,CAREPA,3,Apartado TyD,Mantenimiento Energía,7,3,2019-03-07,2
1371,CAREPA,3,Apartado TyD,Mantenimiento Energía,8,4,2019-03-08,2
1372,CAREPA,3,Apartado TyD,Mantenimiento Energía,14,3,2019-03-14,4
1373,CAREPA,3,Apartado TyD,Mantenimiento Energía,18,0,2019-03-18,5
1375,CAREPA,3,Apartado TyD,Mantenimiento Energía,20,2,2019-03-20,19
1376,CAREPA,3,Apartado TyD,Mantenimiento Energía,21,3,2019-03-21,88
1378,CAREPA,3,Apartado TyD,Mantenimiento Energía,25,0,2019-03-25,1
1379,CAREPA,4,Apartado TyD,Daños Energía,1,0,2019-04-01,7
1380,CAREPA,4,Apartado TyD,Daños Energía,2,1,2019-04-02,7
1381,CAREPA,4,Apartado TyD,Daños Energía,3,2,2019-04-03,9
1382,CAREPA,4,Apartado TyD,Daños Energía,4,3,2019-04-04,5
1383,CAREPA,4,Apartado TyD,Daños Energía,5,4,2019-04-05,6
1384,CAREPA,4,Apartado TyD,Daños Energía,6,5,2019-04-06,5
1385,CAREPA,4,Apartado TyD,Daños Energía,8,0,2019-04-08,6
1386,CAREPA,4,Apartado TyD,Daños Energía,9,1,2019-04-09,6
1387,CAREPA,4,Apartado TyD,Daños Energía,10,2,2019-04-10,6
1388,CAREPA,4,Apartado TyD,Daños Energía,11,3,2019-04-11,10
1389,CAREPA,4,Apartado TyD,Daños Energía,12,4,2019-04-12,6
1390,CAREPA,4,Apartado TyD,Daños Energía,13,5,2019-04-13,6
1391,CAREPA,4,Apartado TyD,Daños Energía,14,6,2019-04-14,6
1395,CAREPA,4,Apartado TyD,Daños Energía,19,4,2019-04-19,2
1396,CAREPA,4,Apartado TyD,Daños Energía,20,5,2019-04-20,4
1397,CAREPA,4,Apartado TyD,Daños Energía,21,6,2019-04-21,7
1398,CAREPA,4,Apartado TyD,Daños Energía,22,0,2019-04-22,14
1399,CAREPA,4,Apartado TyD,Daños Energía,23,1,2019-04-23,9
1400,CAREPA,4,Apartado TyD,Daños Energía,24,2,2019-04-24,9
1401,CAREPA,4,Apartado TyD,Daños Energía,25,3,2019-04-25,3
1402,CAREPA,4,Apartado TyD,Daños Energía,26,4,2019-04-26,5
1403,CAREPA,4,Apartado TyD,Daños Energía,27,5,2019-04-27,3
1405,CAREPA,4,Apartado TyD,Daños Energía,29,0,2019-04-29,19
1406,CAREPA,4,Apartado TyD,Daños Energía,30,1,2019-04-30,12
1407,CAREPA,4,Apartado TyD,Mantenimiento Energía,1,0,2019-04-01,14
1408,CAREPA,4,Apartado TyD,Mantenimiento Energía,3,2,2019-04-03,20
1409,CAREPA,4,Apartado TyD,Mantenimiento Energía,4,3,2019-04-04,2
1410,CAREPA,4,Apartado TyD,Mantenimiento Energía,5,4,2019-04-05,3
1411,CAREPA,4,Apartado TyD,Mantenimiento Energía,7,6,2019-04-07,2
1412,CAREPA,4,Apartado TyD,Mantenimiento Energía,8,0,2019-04-08,12
1413,CAREPA,4,Apartado TyD,Mantenimiento Energía,9,1,2019-04-09,1
1414,CAREPA,4,Apartado TyD,Mantenimiento Energía,10,2,2019-04-10,1
1415,CAREPA,4,Apartado TyD,Mantenimiento Energía,15,0,2019-04-15,3
1416,CAREPA,4,Apartado TyD,Mantenimiento Energía,16,1,2019-04-16,9
1418,CAREPA,4,Apartado TyD,Mantenimiento Energía,23,1,2019-04-23,7
1419,CAREPA,4,Apartado TyD,Mantenimiento Energía,24,2,2019-04-24,3
1420,CAREPA,4,Apartado TyD,Mantenimiento Energía,25,3,2019-04-25,2
1421,CAREPA,4,Apartado TyD,Mantenimiento Energía,26,4,2019-04-26,3
1422,CAREPA,4,Apartado TyD,Mantenimiento Energía,30,1,2019-04-30,2
1423,CAREPA,5,Apartado TyD,Daños Energía,1,2,2019-05-01,7
1424,CAREPA,5,Apartado TyD,Daños Energía,2,3,2019-05-02,8
1425,CAREPA,5,Apartado TyD,Daños Energía,3,4,2019-05-03,12
1426,CAREPA,5,Apartado TyD,Daños Energía,4,5,2019-05-04,8
1427,CAREPA,5,Apartado TyD,Daños Energía,5,6,2019-05-05,3
1428,CAREPA,5,Apartado TyD,Daños Energía,6,0,2019-05-06,17
1429,CAREPA,5,Apartado TyD,Daños Energía,7,1,2019-05-07,11
1430,CAREPA,5,Apartado TyD,Daños Energía,8,2,2019-05-08,16
1431,CAREPA,5,Apartado TyD,Daños Energía,9,3,2019-05-09,13
1433,CAREPA,5,Apartado TyD,Daños Energía,11,5,2019-05-11,1
1434,CAREPA,5,Apartado TyD,Daños Energía,12,6,2019-05-12,5
1435,CAREPA,5,Apartado TyD,Daños Energía,13,0,2019-05-13,6
1436,CAREPA,5,Apartado TyD,Daños Energía,14,1,2019-05-14,11
1437,CAREPA,5,Apartado TyD,Daños Energía,15,2,2019-05-15,10
1439,CAREPA,5,Apartado TyD,Daños Energía,17,4,2019-05-17,5
1440,CAREPA,5,Apartado TyD,Daños Energía,18,5,2019-05-18,2
1441,CAREPA,5,Apartado TyD,Daños Energía,19,6,2019-05-19,2
1442,CAREPA,5,Apartado TyD,Daños Energía,20,0,2019-05-20,12
1443,CAREPA,5,Apartado TyD,Daños Energía,21,1,2019-05-21,10
1446,CAREPA,5,Apartado TyD,Daños Energía,24,4,2019-05-24,11
1447,CAREPA,5,Apartado TyD,Daños Energía,25,5,2019-05-25,8
1448,CAREPA,5,Apartado TyD,Daños Energía,26,6,2019-05-26,5
1449,CAREPA,5,Apartado TyD,Daños Energía,27,0,2019-05-27,12
1450,CAREPA,5,Apartado TyD,Daños Energía,28,1,2019-05-28,8
1451,CAREPA,5,Apartado TyD,Daños Energía,29,2,2019-05-29,8
1453,CAREPA,5,Apartado TyD,Daños Energía,31,4,2019-05-31,12
1454,CAREPA,5,Apartado TyD,Mantenimiento Energía,5,6,2019-05-05,2
1455,CAREPA,5,Apartado TyD,Mantenimiento Energía,6,0,2019-05-06,19
1457,CAREPA,5,Apartado TyD,Mantenimiento Energía,10,4,2019-05-10,3
1459,CAREPA,5,Apartado TyD,Mantenimiento Energía,13,0,2019-05-13,4
1460,CAREPA,5,Apartado TyD,Mantenimiento Energía,20,0,2019-05-20,1
1461,CAREPA,5,Apartado TyD,Mantenimiento Energía,21,1,2019-05-21,1
1462,CAREPA,5,Apartado TyD,Mantenimiento Energía,22,2,2019-05-22,1
1463,CAREPA,5,Apartado TyD,Mantenimiento Energía,24,4,2019-05-24,1
1465,CAREPA,5,Apartado TyD,Mantenimiento Energía,29,2,2019-05-29,2
1466,CAREPA,5,Apartado TyD,Mantenimiento Energía,31,4,2019-05-31,1
1467,CAREPA,6,Apartado TyD,Daños Energía,1,5,2019-06-01,5
1468,CAREPA,6,Apartado TyD,Daños Energía,2,6,2019-06-02,5
1469,CAREPA,6,Apartado TyD,Daños Energía,3,0,2019-06-03,2
1470,CAREPA,6,Apartado TyD,Daños Energía,4,1,2019-06-04,12
1471,CAREPA,6,Apartado TyD,Daños Energía,5,2,2019-06-05,5
1472,CAREPA,6,Apartado TyD,Daños Energía,6,3,2019-06-06,12
1473,CAREPA,6,Apartado TyD,Daños Energía,7,4,2019-06-07,7
1477,CAREPA,6,Apartado TyD,Daños Energía,11,1,2019-06-11,6
1478,CAREPA,6,Apartado TyD,Daños Energía,12,2,2019-06-12,5
1479,CAREPA,6,Apartado TyD,Daños Energía,13,3,2019-06-13,4
1482,CAREPA,6,Apartado TyD,Daños Energía,16,6,2019-06-16,4
1483,CAREPA,6,Apartado TyD,Daños Energía,17,0,2019-06-17,11
1484,CAREPA,6,Apartado TyD,Daños Energía,18,1,2019-06-18,5
1486,CAREPA,6,Apartado TyD,Daños Energía,20,3,2019-06-20,10
1487,CAREPA,6,Apartado TyD,Daños Energía,21,4,2019-06-21,8
1488,CAREPA,6,Apartado TyD,Daños Energía,22,5,2019-06-22,5
1490,CAREPA,6,Apartado TyD,Daños Energía,24,0,2019-06-24,3
1491,CAREPA,6,Apartado TyD,Daños Energía,25,1,2019-06-25,15
1492,CAREPA,6,Apartado TyD,Daños Energía,26,2,2019-06-26,16
1493,CAREPA,6,Apartado TyD,Daños Energía,27,3,2019-06-27,5
1494,CAREPA,6,Apartado TyD,Daños Energía,28,4,2019-06-28,7
1495,CAREPA,6,Apartado TyD,Daños Energía,29,5,2019-06-29,6
1498,CAREPA,6,Apartado TyD,Mantenimiento Energía,4,1,2019-06-04,12
1499,CAREPA,6,Apartado TyD,Mantenimiento Energía,5,2,2019-06-05,2
1500,CAREPA,6,Apartado TyD,Mantenimiento Energía,6,3,2019-06-06,3
1502,CAREPA,6,Apartado TyD,Mantenimiento Energía,8,5,2019-06-08,1
1503,CAREPA,6,Apartado TyD,Mantenimiento Energía,13,3,2019-06-13,1
1504,CAREPA,6,Apartado TyD,Mantenimiento Energía,14,4,2019-06-14,1
1505,CAREPA,6,Apartado TyD,Mantenimiento Energía,17,0,2019-06-17,12
1506,CAREPA,6,Apartado TyD,Mantenimiento Energía,18,1,2019-06-18,1
1507,CAREPA,6,Apartado TyD,Mantenimiento Energía,19,2,2019-06-19,2
1508,CAREPA,6,Apartado TyD,Mantenimiento Energía,20,3,2019-06-20,1
1509,CAREPA,6,Apartado TyD,Mantenimiento Energía,21,4,2019-06-21,2
1510,CAREPA,6,Apartado TyD,Mantenimiento Energía,22,5,2019-06-22,2
1512,CAREPA,6,Apartado TyD,Mantenimiento Energía,24,0,2019-06-24,1
1513,CAREPA,6,Apartado TyD,Mantenimiento Energía,25,1,2019-06-25,1
1514,CAREPA,6,Apartado TyD,Mantenimiento Energía,26,2,2019-06-26,1
1515,CAREPA,6,Apartado TyD,Mantenimiento Energía,27,3,2019-06-27,3
1518,CAREPA,7,Apartado TyD,Daños Energía,1,0,2019-07-01,3
1519,CAREPA,7,Apartado TyD,Daños Energía,2,1,2019-07-02,16
1521,CAREPA,7,Apartado TyD,Daños Energía,4,3,2019-07-04,11
1522,CAREPA,7,Apartado TyD,Daños Energía,5,4,2019-07-05,12
1523,CAREPA,7,Apartado TyD,Daños Energía,6,5,2019-07-06,6
1525,CAREPA,7,Apartado TyD,Daños Energía,8,0,2019-07-08,7
1526,CAREPA,7,Apartado TyD,Daños Energía,9,1,2019-07-09,6
1527,CAREPA,7,Apartado TyD,Daños Energía,10,2,2019-07-10,9
1528,CAREPA,7,Apartado TyD,Daños Energía,11,3,2019-07-11,15
1530,CAREPA,7,Apartado TyD,Daños Energía,13,5,2019-07-13,7
1531,CAREPA,7,Apartado TyD,Daños Energía,14,6,2019-07-14,3
1532,CAREPA,7,Apartado TyD,Daños Energía,15,0,2019-07-15,9
1533,CAREPA,7,Apartado TyD,Daños Energía,16,1,2019-07-16,6
1534,CAREPA,7,Apartado TyD,Daños Energía,17,2,2019-07-17,6
1535,CAREPA,7,Apartado TyD,Daños Energía,18,3,2019-07-18,4
1536,CAREPA,7,Apartado TyD,Daños Energía,19,4,2019-07-19,4
1537,CAREPA,7,Apartado TyD,Daños Energía,20,5,2019-07-20,12
1539,CAREPA,7,Apartado TyD,Daños Energía,22,0,2019-07-22,12
1540,CAREPA,7,Apartado TyD,Daños Energía,23,1,2019-07-23,8
1541,CAREPA,7,Apartado TyD,Daños Energía,24,2,2019-07-24,9
1542,CAREPA,7,Apartado TyD,Daños Energía,25,3,2019-07-25,14
1543,CAREPA,7,Apartado TyD,Daños Energía,26,4,2019-07-26,4
1544,CAREPA,7,Apartado TyD,Daños Energía,27,5,2019-07-27,6
1545,CAREPA,7,Apartado TyD,Daños Energía,29,0,2019-07-29,15
1546,CAREPA,7,Apartado TyD,Daños Energía,30,1,2019-07-30,15
1547,CAREPA,7,Apartado TyD,Daños Energía,31,2,2019-07-31,10
1548,CAREPA,7,Apartado TyD,Mantenimiento Energía,1,0,2019-07-01,1
1550,CAREPA,7,Apartado TyD,Mantenimiento Energía,3,2,2019-07-03,15
1551,CAREPA,7,Apartado TyD,Mantenimiento Energía,5,4,2019-07-05,2
1552,CAREPA,7,Apartado TyD,Mantenimiento Energía,7,6,2019-07-07,2
1553,CAREPA,7,Apartado TyD,Mantenimiento Energía,8,0,2019-07-08,4
1554,CAREPA,7,Apartado TyD,Mantenimiento Energía,12,4,2019-07-12,3
1555,CAREPA,7,Apartado TyD,Mantenimiento Energía,15,0,2019-07-15,11
1556,CAREPA,7,Apartado TyD,Mantenimiento Energía,17,2,2019-07-17,2
1557,CAREPA,7,Apartado TyD,Mantenimiento Energía,21,6,2019-07-21,5
1558,CAREPA,7,Apartado TyD,Mantenimiento Energía,22,0,2019-07-22,2
1559,CAREPA,7,Apartado TyD,Mantenimiento Energía,23,1,2019-07-23,2
1560,CAREPA,7,Apartado TyD,Mantenimiento Energía,29,0,2019-07-29,1
1561,CAREPA,8,Apartado TyD,Daños Energía,1,3,2019-08-01,13
1562,CAREPA,8,Apartado TyD,Daños Energía,2,4,2019-08-02,2
1565,CAREPA,8,Apartado TyD,Daños Energía,5,0,2019-08-05,6
1566,CAREPA,8,Apartado TyD,Daños Energía,6,1,2019-08-06,9
1568,CAREPA,8,Apartado TyD,Daños Energía,8,3,2019-08-08,5
1569,CAREPA,8,Apartado TyD,Daños Energía,9,4,2019-08-09,6
1570,CAREPA,8,Apartado TyD,Daños Energía,10,5,2019-08-10,17
1571,CAREPA,8,Apartado TyD,Daños Energía,11,6,2019-08-11,4
1572,CAREPA,8,Apartado TyD,Daños Energía,12,0,2019-08-12,9
1573,CAREPA,8,Apartado TyD,Daños Energía,13,1,2019-08-13,9
1574,CAREPA,8,Apartado TyD,Daños Energía,14,2,2019-08-14,6
1575,CAREPA,8,Apartado TyD,Daños Energía,15,3,2019-08-15,6
1576,CAREPA,8,Apartado TyD,Daños Energía,16,4,2019-08-16,8
1579,CAREPA,8,Apartado TyD,Daños Energía,19,0,2019-08-19,5
1580,CAREPA,8,Apartado TyD,Daños Energía,20,1,2019-08-20,7
1582,CAREPA,8,Apartado TyD,Daños Energía,22,3,2019-08-22,12
1583,CAREPA,8,Apartado TyD,Daños Energía,23,4,2019-08-23,5
1584,CAREPA,8,Apartado TyD,Daños Energía,24,5,2019-08-24,6
1585,CAREPA,8,Apartado TyD,Daños Energía,25,6,2019-08-25,5
1586,CAREPA,8,Apartado TyD,Daños Energía,26,0,2019-08-26,12
1587,CAREPA,8,Apartado TyD,Daños Energía,27,1,2019-08-27,9
1588,CAREPA,8,Apartado TyD,Daños Energía,28,2,2019-08-28,11
1590,CAREPA,8,Apartado TyD,Daños Energía,30,4,2019-08-30,7
1591,CAREPA,8,Apartado TyD,Daños Energía,31,5,2019-08-31,4
1592,CAREPA,8,Apartado TyD,Mantenimiento Energía,3,5,2019-08-03,3
1595,CAREPA,8,Apartado TyD,Mantenimiento Energía,8,3,2019-08-08,1
1596,CAREPA,8,Apartado TyD,Mantenimiento Energía,9,4,2019-08-09,1
1597,CAREPA,8,Apartado TyD,Mantenimiento Energía,13,1,2019-08-13,1
1598,CAREPA,8,Apartado TyD,Mantenimiento Energía,16,4,2019-08-16,2
1599,CAREPA,8,Apartado TyD,Mantenimiento Energía,17,5,2019-08-17,1
1600,CAREPA,8,Apartado TyD,Mantenimiento Energía,18,6,2019-08-18,1
1601,CAREPA,8,Apartado TyD,Mantenimiento Energía,20,1,2019-08-20,2
1602,CAREPA,8,Apartado TyD,Mantenimiento Energía,21,2,2019-08-21,1
1603,CAREPA,8,Apartado TyD,Mantenimiento Energía,22,3,2019-08-22,8
1604,CAREPA,8,Apartado TyD,Mantenimiento Energía,23,4,2019-08-23,1
1605,CAREPA,8,Apartado TyD,Mantenimiento Energía,24,5,2019-08-24,1
1608,CAREPA,8,Apartado TyD,Mantenimiento Energía,30,4,2019-08-30,1
1609,CAREPA,8,Turbo TyD,Daños Energía,14,2,2019-08-14,1
1610,CAREPA,8,Turbo TyD,Daños Energía,28,2,2019-08-28,1
1611,CAREPA,9,Apartado TyD,Daños Energía,1,6,2019-09-01,1
1612,CAREPA,9,Apartado TyD,Daños Energía,2,0,2019-09-02,13
1613,CAREPA,9,Apartado TyD,Daños Energía,3,1,2019-09-03,3
1614,CAREPA,9,Apartado TyD,Daños Energía,4,2,2019-09-04,9
1616,CAREPA,9,Apartado TyD,Daños Energía,6,4,2019-09-06,9
1617,CAREPA,9,Apartado TyD,Daños Energía,7,5,2019-09-07,3
1618,CAREPA,9,Apartado TyD,Daños Energía,8,6,2019-09-08,18
1620,CAREPA,9,Apartado TyD,Daños Energía,10,1,2019-09-10,5
1621,CAREPA,9,Apartado TyD,Daños Energía,11,2,2019-09-11,10
1622,CAREPA,9,Apartado TyD,Daños Energía,12,3,2019-09-12,6
1623,CAREPA,9,Apartado TyD,Daños Energía,13,4,2019-09-13,7
1625,CAREPA,9,Apartado TyD,Daños Energía,16,0,2019-09-16,7
1626,CAREPA,9,Apartado TyD,Daños Energía,17,1,2019-09-17,11
1627,CAREPA,9,Apartado TyD,Daños Energía,18,2,2019-09-18,6
1628,CAREPA,9,Apartado TyD,Daños Energía,19,3,2019-09-19,3
1629,CAREPA,9,Apartado TyD,Daños Energía,20,4,2019-09-20,8
1630,CAREPA,9,Apartado TyD,Daños Energía,21,5,2019-09-21,4
1632,CAREPA,9,Apartado TyD,Daños Energía,23,0,2019-09-23,11
1633,CAREPA,9,Apartado TyD,Daños Energía,24,1,2019-09-24,6
1635,CAREPA,9,Apartado TyD,Daños Energía,26,3,2019-09-26,10
1636,CAREPA,9,Apartado TyD,Daños Energía,27,4,2019-09-27,8
1637,CAREPA,9,Apartado TyD,Daños Energía,28,5,2019-09-28,7
1638,CAREPA,9,Apartado TyD,Daños Energía,29,6,2019-09-29,1
1639,CAREPA,9,Apartado TyD,Daños Energía,30,0,2019-09-30,6
1640,CAREPA,9,Apartado TyD,Mantenimiento Energía,1,6,2019-09-01,4
1641,CAREPA,9,Apartado TyD,Mantenimiento Energía,4,2,2019-09-04,1
1642,CAREPA,9,Apartado TyD,Mantenimiento Energía,6,4,2019-09-06,1
1645,CAREPA,9,Apartado TyD,Mantenimiento Energía,9,0,2019-09-09,1
1646,CAREPA,9,Apartado TyD,Mantenimiento Energía,10,1,2019-09-10,1
1647,CAREPA,9,Apartado TyD,Mantenimiento Energía,11,2,2019-09-11,5
1648,CAREPA,9,Apartado TyD,Mantenimiento Energía,12,3,2019-09-12,5
1649,CAREPA,9,Apartado TyD,Mantenimiento Energía,13,4,2019-09-13,1
1650,CAREPA,9,Apartado TyD,Mantenimiento Energía,17,1,2019-09-17,2
1651,CAREPA,9,Apartado TyD,Mantenimiento Energía,20,4,2019-09-20,6
1652,CAREPA,9,Apartado TyD,Mantenimiento Energía,21,5,2019-09-21,1
1653,CAREPA,9,Apartado TyD,Mantenimiento Energía,23,0,2019-09-23,1
1654,CAREPA,9,Apartado TyD,Mantenimiento Energía,26,3,2019-09-26,1
1655,CAREPA,9,Apartado TyD,Mantenimiento Energía,30,0,2019-09-30,2
1656,CAREPA,10,Apartado TyD,Daños Energía,1,1,2019-10-01,8
1657,CAREPA,10,Apartado TyD,Daños Energía,2,2,2019-10-02,4
1658,CAREPA,10,Apartado TyD,Daños Energía,3,3,2019-10-03,4
1659,CAREPA,10,Apartado TyD,Daños Energía,4,4,2019-10-04,1
1660,CAREPA,10,Apartado TyD,Daños Energía,5,5,2019-10-05,5
1661,CAREPA,10,Apartado TyD,Daños Energía,6,6,2019-10-06,7
1662,CAREPA,10,Apartado TyD,Daños Energía,7,0,2019-10-07,8
1663,CAREPA,10,Apartado TyD,Daños Energía,8,1,2019-10-08,9
1664,CAREPA,10,Apartado TyD,Daños Energía,9,2,2019-10-09,5
1665,CAREPA,10,Apartado TyD,Daños Energía,10,3,2019-10-10,5
1666,CAREPA,10,Apartado TyD,Daños Energía,11,4,2019-10-11,4
1669,CAREPA,10,Apartado TyD,Daños Energía,14,0,2019-10-14,5
1670,CAREPA,10,Apartado TyD,Daños Energía,15,1,2019-10-15,8
1671,CAREPA,10,Apartado TyD,Daños Energía,16,2,2019-10-16,6
1672,CAREPA,10,Apartado TyD,Daños Energía,17,3,2019-10-17,8
1673,CAREPA,10,Apartado TyD,Daños Energía,18,4,2019-10-18,10
1674,CAREPA,10,Apartado TyD,Daños Energía,19,5,2019-10-19,6
1675,CAREPA,10,Apartado TyD,Daños Energía,20,6,2019-10-20,3
1676,CAREPA,10,Apartado TyD,Daños Energía,21,0,2019-10-21,13
1677,CAREPA,10,Apartado TyD,Daños Energía,22,1,2019-10-22,14
1678,CAREPA,10,Apartado TyD,Daños Energía,23,2,2019-10-23,12
1679,CAREPA,10,Apartado TyD,Daños Energía,24,3,2019-10-24,13
1680,CAREPA,10,Apartado TyD,Daños Energía,25,4,2019-10-25,5
1682,CAREPA,10,Apartado TyD,Daños Energía,27,6,2019-10-27,3
1683,CAREPA,10,Apartado TyD,Daños Energía,28,0,2019-10-28,14
1684,CAREPA,10,Apartado TyD,Daños Energía,29,1,2019-10-29,10
1685,CAREPA,10,Apartado TyD,Daños Energía,30,2,2019-10-30,8
1686,CAREPA,10,Apartado TyD,Daños Energía,31,3,2019-10-31,11
1687,CAREPA,10,Apartado TyD,Mantenimiento Energía,1,1,2019-10-01,1
1688,CAREPA,10,Apartado TyD,Mantenimiento Energía,4,4,2019-10-04,3
1690,CAREPA,10,Apartado TyD,Mantenimiento Energía,9,2,2019-10-09,2
1692,CAREPA,10,Apartado TyD,Mantenimiento Energía,11,4,2019-10-11,5
1693,CAREPA,10,Apartado TyD,Mantenimiento Energía,12,5,2019-10-12,1
1694,CAREPA,10,Apartado TyD,Mantenimiento Energía,13,6,2019-10-13,1
1695,CAREPA,10,Apartado TyD,Mantenimiento Energía,14,0,2019-10-14,1
1697,CAREPA,10,Apartado TyD,Mantenimiento Energía,16,2,2019-10-16,1
1699,CAREPA,10,Apartado TyD,Mantenimiento Energía,20,6,2019-10-20,16
1700,CAREPA,10,Apartado TyD,Mantenimiento Energía,21,0,2019-10-21,1
1701,CAREPA,10,Apartado TyD,Mantenimiento Energía,24,3,2019-10-24,1
1702,CAREPA,10,Apartado TyD,Mantenimiento Energía,25,4,2019-10-25,3
1703,CAREPA,10,Apartado TyD,Mantenimiento Energía,26,5,2019-10-26,1
1704,CAREPA,10,Apartado TyD,Mantenimiento Energía,27,6,2019-10-27,1
1705,CAREPA,10,Apartado TyD,Mantenimiento Energía,28,0,2019-10-28,3
1706,CAREPA,10,Apartado TyD,Mantenimiento Energía,29,1,2019-10-29,1
1707,CAREPA,10,Apartado TyD,Mantenimiento Energía,30,2,2019-10-30,1
1708,CAREPA,10,Apartado TyD,Mantenimiento Energía,31,3,2019-10-31,1
1709,CAREPA,11,Apartado TyD,Daños Energía,1,4,2019-11-01,15
1711,CAREPA,11,Apartado TyD,Daños Energía,3,6,2019-11-03,8
1712,CAREPA,11,Apartado TyD,Daños Energía,4,0,2019-11-04,5
1713,CAREPA,11,Apartado TyD,Daños Energía,5,1,2019-11-05,15
1714,CAREPA,11,Apartado TyD,Daños Energía,6,2,2019-11-06,14
1715,CAREPA,11,Apartado TyD,Daños Energía,7,3,2019-11-07,11
1716,CAREPA,11,Apartado TyD,Daños Energía,8,4,2019-11-08,9
1717,CAREPA,11,Apartado TyD,Daños Energía,9,5,2019-11-09,6
1718,CAREPA,11,Apartado TyD,Daños Energía,10,6,2019-11-10,2
1721,CAREPA,11,Apartado TyD,Daños Energía,13,2,2019-11-13,3
1723,CAREPA,11,Apartado TyD,Daños Energía,15,4,2019-11-15,8
1724,CAREPA,11,Apartado TyD,Daños Energía,16,5,2019-11-16,8
1726,CAREPA,11,Apartado TyD,Daños Energía,18,0,2019-11-18,5
1727,CAREPA,11,Apartado TyD,Daños Energía,19,1,2019-11-19,8
1728,CAREPA,11,Apartado TyD,Daños Energía,20,2,2019-11-20,7
1730,CAREPA,11,Apartado TyD,Daños Energía,22,4,2019-11-22,10
1731,CAREPA,11,Apartado TyD,Daños Energía,23,5,2019-11-23,4
1733,CAREPA,11,Apartado TyD,Daños Energía,25,0,2019-11-25,5
1734,CAREPA,11,Apartado TyD,Daños Energía,26,1,2019-11-26,4
1735,CAREPA,11,Apartado TyD,Daños Energía,27,2,2019-11-27,6
1736,CAREPA,11,Apartado TyD,Daños Energía,28,3,2019-11-28,4
1737,CAREPA,11,Apartado TyD,Daños Energía,29,4,2019-11-29,11
1739,CAREPA,11,Apartado TyD,Mantenimiento Energía,4,0,2019-11-04,1
1741,CAREPA,11,Apartado TyD,Mantenimiento Energía,6,2,2019-11-06,2
1742,CAREPA,11,Apartado TyD,Mantenimiento Energía,7,3,2019-11-07,2
1743,CAREPA,11,Apartado TyD,Mantenimiento Energía,8,4,2019-11-08,1
1744,CAREPA,11,Apartado TyD,Mantenimiento Energía,9,5,2019-11-09,1
1745,CAREPA,11,Apartado TyD,Mantenimiento Energía,11,0,2019-11-11,1
1748,CAREPA,11,Apartado TyD,Mantenimiento Energía,17,6,2019-11-17,1
1749,CAREPA,11,Apartado TyD,Mantenimiento Energía,20,2,2019-11-20,3
1751,CAREPA,11,Apartado TyD,Mantenimiento Energía,25,0,2019-11-25,1
1752,CAREPA,11,Turbo TyD,Daños Energía,2,5,2019-11-02,1
1754,CAREPA,11,Turbo TyD,Daños Energía,19,1,2019-11-19,1
1755,CAREPA,11,Turbo TyD,Daños Energía,20,2,2019-11-20,1
1756,CAREPA,12,Apartado TyD,Daños Energía,1,6,2019-12-01,4
1758,CAREPA,12,Apartado TyD,Daños Energía,3,1,2019-12-03,8
1760,CAREPA,12,Apartado TyD,Daños Energía,5,3,2019-12-05,6
1762,CAREPA,12,Apartado TyD,Daños Energía,7,5,2019-12-07,5
1763,CAREPA,12,Apartado TyD,Daños Energía,8,6,2019-12-08,3
